Company,Date,Market Cap
RTX,2020-01-31,129970000000.0
RTX,2020-03-31,81700000000.0
RTX,2020-07-21,96320000000.0
RTX,2020-10-20,93010000000.0
RTX,2021-01-29,101390000000.0
RTX,2021-03-31,117070000000.0
RTX,2021-06-30,128639999999.99998
RTX,2021-09-30,128660000000.0
RTX,2022-01-31,134590000000.0
RTX,2022-03-31,147340000000.0
RTX,2022-06-30,141910000000.0
RTX,2022-09-30,120340000000.0
RTX,2023-01-31,146280000000.0
RTX,2023-03-31,143090000000.0
RTX,2023-06-30,142580000000.0
RTX,2023-09-30,103490000000.0
RTX,2024-03-31,129669999999.99998
RTX,2024-06-30,133539999999.99998
RTX,2024-09-30,161270000000.0
RTX,2024-12-31,154150000000.0
