Company,Date,Market Cap
SBAC,2010-02-24,4110000000.0000005
SBAC,2010-05-03,4190000000.0000005
SBAC,2010-07-29,4050000000.0
SBAC,2010-10-28,4600000000.0
SBAC,2011-02-16,5080000000.0
SBAC,2011-05-02,4300000000.0
SBAC,2011-08-01,4280000000.0000005
SBAC,2011-11-01,4219999999.9999995
SBAC,2012-02-16,5080000000.0
SBAC,2012-05-01,6590000000.0
SBAC,2012-08-01,7100000000.0
SBAC,2012-10-31,8390000000.000001
SBAC,2013-02-15,8720000000.0
SBAC,2013-05-06,10030000000.0
SBAC,2013-07-31,9470000000.0
SBAC,2013-11-01,11230000000.0
SBAC,2014-02-14,12380000000.0
SBAC,2014-05-01,11660000000.0
SBAC,2014-07-25,13320000000.0
SBAC,2014-10-30,14770000000.0
SBAC,2015-02-19,15630000000.0
SBAC,2015-04-30,14990000000.0
SBAC,2015-07-31,15420000000.0
SBAC,2015-10-30,15010000000.0
SBAC,2016-02-19,11230000000.0
SBAC,2016-04-26,13100000000.0
SBAC,2016-07-31,14330000000.0
SBAC,2016-10-31,14050000000.0
SBAC,2016-12-19,12990000000.0
SBAC,2017-02-21,13390000000.0
SBAC,2017-04-30,15340000000.0
SBAC,2017-07-26,16320000000.0
SBAC,2017-10-27,17250000000.0
SBAC,2018-02-21,19750000000.0
SBAC,2018-04-26,19030000000.0
SBAC,2018-07-31,18170000000.0
SBAC,2018-10-31,18380000000.0
SBAC,2019-02-21,20570000000.0
SBAC,2019-04-30,23070000000.0
SBAC,2019-07-31,27760000000.0
SBAC,2019-09-05,6680000000.0
SBAC,2019-10-31,27100000000.0
SBAC,2020-02-18,32650000000.0
SBAC,2020-04-27,34470000000.0
SBAC,2020-07-31,34870000000.0
SBAC,2020-10-31,32259999999.999996
SBAC,2021-02-18,28730000000.0
SBAC,2021-04-26,32450000000.000004
SBAC,2021-07-28,37280000000.0
SBAC,2021-10-27,38000000000.0
SBAC,2022-02-18,31390000000.0
SBAC,2022-04-19,38920000000.0
SBAC,2022-07-27,34570000000.0
SBAC,2022-10-25,27700000000.0
SBAC,2023-02-15,31190000000.0
SBAC,2023-04-26,27110000000.0
SBAC,2023-07-26,24540000000.0
SBAC,2023-10-25,21110000000.0
SBAC,2024-02-15,22920000000.0
SBAC,2024-04-26,21080000000.0
SBAC,2024-07-24,22080000000.0
SBAC,2024-10-23,26200000000.0
