Company,Date,Market Cap
SCHW,2010-01-29,21810000000.0
SCHW,2010-04-23,23730000000.0
SCHW,2010-07-23,18170000000.0
SCHW,2010-10-22,17900000000.0
SCHW,2011-01-31,21720000000.0
SCHW,2011-04-22,22570000000.0
SCHW,2011-07-22,18670000000.0
SCHW,2011-10-24,16219999999.999998
SCHW,2012-01-31,14810000000.0
SCHW,2012-04-23,17590000000.0
SCHW,2012-07-24,15470000000.0
SCHW,2012-10-24,16980000000.0
SCHW,2013-01-31,21130000000.0
SCHW,2013-04-23,21230000000.0
SCHW,2013-07-24,28410000000.0
SCHW,2013-10-23,30040000000.0
SCHW,2014-01-31,32229999999.999996
SCHW,2014-04-24,35250000000.0
SCHW,2014-07-25,35840000000.0
SCHW,2014-10-24,34850000000.0
SCHW,2015-01-30,34060000000.000004
SCHW,2015-04-24,39560000000.0
SCHW,2015-07-27,44840000000.0
SCHW,2015-10-26,40090000000.0
SCHW,2016-01-29,33710000000.0
SCHW,2016-04-25,39160000000.0
SCHW,2016-07-27,37980000000.0
SCHW,2016-10-26,42620000000.0
SCHW,2017-04-30,51950000000.0
SCHW,2017-07-31,57450000000.0
SCHW,2017-10-31,60110000000.0
SCHW,2018-01-31,71820000000.0
SCHW,2018-04-30,75120000000.0
SCHW,2018-07-31,68990000000.0
SCHW,2018-10-31,62440000000.0
SCHW,2019-01-31,62340000000.0
SCHW,2019-04-30,61120000000.0
SCHW,2019-07-31,56500000000.0
SCHW,2019-08-02,98950000.0
SCHW,2019-10-31,52200000000.0
SCHW,2020-01-31,58590000000.0
SCHW,2020-04-30,48560000000.0
SCHW,2020-07-31,42720000000.0
SCHW,2020-10-31,73880000000.0
SCHW,2021-01-29,92930000000.0
SCHW,2021-04-30,127220000000.0
SCHW,2021-07-30,122900000000.0
SCHW,2021-10-29,148580000000.0
SCHW,2022-01-31,159140000000.0
SCHW,2022-04-29,120530000000.0
SCHW,2022-07-29,125520000000.0
SCHW,2022-10-31,144670000000.0
SCHW,2023-01-31,138690000000.0
SCHW,2023-04-28,92420000000.0
SCHW,2023-07-31,117010000000.0
SCHW,2023-10-31,92200000000.0
SCHW,2024-01-31,111590000000.0
SCHW,2024-04-30,131430000000.0
SCHW,2024-07-31,115940000000.0
SCHW,2024-10-31,126050000000.0
