Company,Date,Market Cap
SJM,2010-02-28,7110000000.0
SJM,2010-06-23,7340000000.0
SJM,2010-08-31,6990000000.0
SJM,2010-11-30,7530000000.0
SJM,2011-02-28,7980000000.0
SJM,2011-06-22,8880000000.0
SJM,2011-08-31,8210000000.000001
SJM,2011-11-30,8610000000.0
SJM,2012-02-29,8439999999.999999
SJM,2012-06-18,8410000000.0
SJM,2012-08-31,9300000000.0
SJM,2012-11-30,9590000000.0
SJM,2013-02-28,10220000000.0
SJM,2013-06-17,10940000000.0
SJM,2013-08-23,11400000000.0
SJM,2013-11-22,10930000000.0
SJM,2014-02-26,10220000000.0
SJM,2014-06-16,10780000000.0
SJM,2014-08-22,10320000000.0
SJM,2014-11-21,10310000000.0
SJM,2015-02-24,11550000000.0
SJM,2015-06-15,13280000000.0
SJM,2015-08-28,14070000000.0
SJM,2015-12-01,14460000000.0
SJM,2016-03-01,15350000000.0
SJM,2016-06-14,16770000000.0
SJM,2016-08-24,16559999999.999998
SJM,2016-11-16,15130000000.0
SJM,2017-02-20,15830000000.0
SJM,2017-06-12,14530000000.0
SJM,2017-08-24,12210000000.0
SJM,2017-11-15,12100000000.0
SJM,2018-02-16,14140000000.0
SJM,2018-06-12,12020000000.0
SJM,2018-08-21,12310000000.0
SJM,2018-11-20,12770000000.0
SJM,2019-02-19,11830000000.0
SJM,2019-06-10,13950000000.0
SJM,2019-08-20,13070000000.0
SJM,2019-07-31,2900000000.0
SJM,2019-11-15,11980000000.0
SJM,2020-02-19,12620000000.0
SJM,2020-06-12,11940000000.0
SJM,2020-08-18,13000000000.0
SJM,2020-11-17,13510000000.0
SJM,2021-02-18,12790000000.0
SJM,2021-06-10,14700000000.0
SJM,2021-08-19,14340000000.0
SJM,2021-11-16,13820000000.0
SJM,2022-02-22,15040000000.0
SJM,2022-06-09,13550000000.0
SJM,2022-11-14,15110000000.0
SJM,2023-02-21,16000000000.0
SJM,2023-06-08,15410000000.0
SJM,2023-08-22,14260000000.0
SJM,2023-11-28,11630000000.0
SJM,2024-02-20,13370000000.0
SJM,2024-04-29,11520000000.0
SJM,2024-06-11,12000000000.0
SJM,2024-08-21,12870000000.0
SJM,2024-11-19,11910000000.0
