Company,Date,Market Cap
SPG,2010-01-31,20880000000.0
SPG,2010-03-31,24250000000.0
SPG,2010-06-30,23640000000.0
SPG,2010-09-30,27160000000.0
SPG,2011-01-31,30130000000.0
SPG,2011-03-31,31430000000.0
SPG,2011-06-30,34119999999.999996
SPG,2011-09-30,32310000000.000004
SPG,2012-01-31,40450000000.0
SPG,2012-03-31,44150000000.0
SPG,2012-06-30,47220000000.0
SPG,2012-09-30,46960000000.0
SPG,2013-01-31,50240000000.0
SPG,2013-03-31,49160000000.0
SPG,2013-06-30,49010000000.0
SPG,2013-09-30,46000000000.0
SPG,2014-01-31,48660000000.0
SPG,2014-03-31,50950000000.0
SPG,2014-06-30,51670000000.0
SPG,2014-09-30,51100000000.0
SPG,2015-01-30,62460000000.0
SPG,2015-03-31,60900000000.0
SPG,2015-06-30,53530000000.0
SPG,2015-09-30,56840000000.0
SPG,2016-01-29,58640000000.0
SPG,2016-03-31,64260000000.00001
SPG,2016-06-30,68160000000.0
SPG,2016-09-30,65050000000.0
SPG,2017-01-31,58770000000.0
SPG,2017-03-31,53710000000.0
SPG,2017-06-30,50280000000.0
SPG,2017-09-30,50050000000.0
SPG,2018-01-31,52330000000.0
SPG,2018-03-31,47800000000.0
SPG,2018-06-30,52620000000.0
SPG,2018-09-30,54670000000.0
SPG,2019-01-31,56270000000.0
SPG,2019-03-31,56300000000.0
SPG,2019-06-30,49210000000.0
SPG,2019-09-30,47760000000.0
SPG,2020-01-31,40860000000.0
SPG,2020-03-31,16770000000.0
SPG,2020-06-30,20920000000.0
SPG,2020-09-30,19790000000.0
SPG,2021-01-31,30530000000.0
SPG,2021-03-31,37380000000.0
SPG,2021-06-30,42880000000.0
SPG,2021-09-30,42710000000.0
SPG,2022-01-31,48370000000.0
SPG,2022-03-31,43240000000.0
SPG,2022-06-30,31070000000.0
SPG,2022-09-30,29340000000.0
SPG,2023-01-31,42000000000.0
SPG,2023-03-31,36610000000.0
SPG,2023-06-30,37780000000.0
SPG,2023-09-30,35240000000.0
SPG,2024-01-31,45170000000.0
SPG,2024-03-31,51010000000.0
SPG,2024-06-30,49490000000.0
