Company,Date,Market Cap
SRE,2010-02-23,11920000000.0
SRE,2010-04-30,12170000000.0
SRE,2010-07-30,12330000000.0
SRE,2010-11-05,12980000000.0
SRE,2011-02-22,12820000000.0
SRE,2011-05-05,13020000000.0
SRE,2011-08-05,11610000000.0
SRE,2011-10-31,12890000000.0
SRE,2012-02-24,13960000000.0
SRE,2012-04-30,15600000000.0
SRE,2012-07-30,17129999999.999998
SRE,2012-11-01,16690000000.000002
SRE,2013-02-22,18680000000.0
SRE,2013-04-29,20090000000.0
SRE,2013-08-02,21640000000.0
SRE,2013-11-01,22420000000.0
SRE,2014-02-21,22790000000.0
SRE,2014-04-28,24410000000.0
SRE,2014-08-04,24490000000.0
SRE,2014-10-31,27080000000.0
SRE,2015-02-20,27190000000.0
SRE,2015-04-29,26650000000.0
SRE,2015-07-29,24940000000.0
SRE,2015-10-28,25050000000.0
SRE,2016-02-19,24240000000.0
SRE,2016-04-28,25720000000.0
SRE,2016-07-29,27950000000.0
SRE,2016-10-27,26150000000.0
SRE,2017-02-21,26680000000.0
SRE,2017-05-03,27950000000.0
SRE,2017-07-28,28380000000.0
SRE,2017-10-24,28890000000.0
SRE,2018-02-22,27230000000.0
SRE,2018-05-03,29430000000.0
SRE,2018-08-01,31420000000.0
SRE,2018-11-01,30120000000.0
SRE,2019-02-21,32250000000.0
SRE,2019-05-02,34560000000.0
SRE,2019-07-29,38300000000.0
SRE,2019-10-28,39800000000.0
SRE,2020-02-21,46310000000.0
SRE,2020-04-29,37910000000.0
SRE,2020-08-04,36160000000.0
SRE,2020-11-02,36810000000.0
SRE,2021-02-22,37120000000.0
SRE,2021-04-30,41650000000.0
SRE,2021-08-02,41910000000.0
SRE,2021-11-01,41160000000.0
SRE,2022-02-18,42770000000.0
SRE,2022-04-29,50720000000.0
SRE,2022-08-01,51980000000.0
SRE,2022-10-31,47450000000.0
SRE,2023-02-21,48890000000.0
SRE,2023-04-28,48930000000.0
SRE,2023-07-31,46890000000.0
SRE,2023-10-31,44070000000.0
SRE,2024-02-20,44670000000.0
SRE,2024-04-30,45330000000.0
SRE,2024-08-01,51590000000.0
SRE,2024-11-01,51720000000.0
