Company,Date,Market Cap
STZ,2010-04-21,3460000000.0
STZ,2010-06-30,2920000000.0
STZ,2010-09-30,3320000000.0
STZ,2010-12-31,4120000000.0
STZ,2011-04-19,4280000000.0000005
STZ,2011-06-30,3970000000.0
STZ,2011-09-30,3220000000.0
STZ,2011-12-31,3640000000.0
STZ,2012-04-20,3510000000.0
STZ,2012-06-30,4160000000.0
STZ,2012-09-30,5140000000.0
STZ,2012-12-31,5670000000.0
STZ,2013-04-22,7750000000.0
STZ,2013-06-30,8600000000.0
STZ,2013-09-30,9520000000.0
STZ,2013-12-31,11730000000.0
STZ,2014-04-22,13620000000.0
STZ,2014-06-30,14910000000.0
STZ,2014-09-30,14770000000.0
STZ,2014-12-31,16700000000.0
STZ,2015-04-22,19880000000.0
STZ,2015-06-30,19950000000.0
STZ,2015-09-30,21680000000.0
STZ,2015-12-31,25050000000.0
STZ,2016-04-19,27750000000.0
STZ,2016-06-24,27020000000.0
STZ,2016-09-30,29590000000.0
STZ,2016-12-31,26480000000.0
STZ,2017-04-21,29500000000.0
STZ,2017-06-23,31740000000.0
STZ,2017-09-30,34360000000.0
STZ,2017-12-31,39170000000.0
STZ,2018-04-17,38890000000.0
STZ,2018-06-25,38280000000.0
STZ,2018-09-30,35820000000.0
STZ,2018-12-31,26780000000.0
STZ,2019-04-17,31970000000.0
STZ,2019-06-24,30310000000.0
STZ,2019-09-30,34720000000.0
STZ,2019-12-31,31790000000.0
STZ,2020-06-26,28390000000.0
STZ,2020-09-28,31430000000.0
STZ,2020-12-31,37240000000.0
STZ,2021-04-14,38930000000.0
STZ,2021-06-25,38460000000.0
STZ,2021-10-01,35070000000.0
STZ,2022-06-24,39120000000.0
STZ,2022-09-30,37030000000.0
STZ,2022-12-31,42760000000.0
STZ,2023-06-23,44430000000.0
STZ,2023-09-30,46160000000.0
STZ,2023-12-31,44190000000.0
STZ,2024-04-16,47160000000.0
STZ,2024-06-28,46870000000.0
STZ,2024-09-30,46780000000.0
STZ,2024-12-31,39940000000.0
