Company,Date,Market Cap
SWKS,2010-01-29,2230000000.0
SWKS,2010-04-30,2980000000.0
SWKS,2010-11-21,4420000000.0
SWKS,2011-01-27,6070000000.0
SWKS,2011-04-29,5860000000.0
SWKS,2011-07-31,4710000000.0
SWKS,2011-11-22,2990000000.0
SWKS,2012-01-27,4150000000.0000005
SWKS,2012-04-27,5270000000.0
SWKS,2012-07-26,5100000000.0
SWKS,2012-11-13,4050000000.0
SWKS,2013-01-25,4040000000.0
SWKS,2013-04-19,3860000000.0
SWKS,2013-07-19,4490000000.0
SWKS,2013-11-12,4820000000.0
SWKS,2014-01-15,5500000000.0
SWKS,2014-04-25,7860000000.0
SWKS,2014-07-22,10280000000.0
SWKS,2014-11-14,11970000000.0
SWKS,2015-01-15,13610000000.0
SWKS,2015-05-01,18780000000.0
SWKS,2015-07-31,18250000000.0
SWKS,2015-11-13,14300000000.0
SWKS,2016-01-15,11630000000.0
SWKS,2016-04-29,12710000000.0
SWKS,2016-07-22,12150000000.0
SWKS,2016-11-11,13840000000.0
SWKS,2017-01-16,14480000000.0
SWKS,2017-01-23,16670000000.000002
SWKS,2017-04-21,18750000000.0
SWKS,2017-07-20,19780000000.0
SWKS,2017-11-03,20740000000.0
SWKS,2018-01-15,18470000000.0
SWKS,2018-01-26,17760000000.0
SWKS,2018-04-30,15800000000.0
SWKS,2018-07-17,18200000000.0
SWKS,2018-11-07,14670000000.0
SWKS,2019-01-15,11910000000.0
SWKS,2019-01-30,12870000000.0
SWKS,2019-05-01,15280000000.0
SWKS,2019-08-01,14210000000.0
SWKS,2019-11-12,17310000000.0
SWKS,2020-01-21,21070000000.0
SWKS,2020-04-28,16800000000.0
SWKS,2020-07-17,22370000000.0
SWKS,2020-11-11,23890000000.0
SWKS,2021-01-22,26590000000.0
SWKS,2021-04-23,31520000000.0
SWKS,2021-07-23,31820000000.0
SWKS,2021-11-18,26980000000.0
SWKS,2022-01-21,23320000000.0
SWKS,2022-01-27,22530000000.0
SWKS,2022-04-29,18230000000.0
SWKS,2022-07-29,17470000000.0
SWKS,2022-11-11,15430000000.0
SWKS,2023-01-20,16379999999.999998
SWKS,2023-01-30,17260000000.0
SWKS,2023-05-02,16770000000.0
SWKS,2023-08-01,18160000000.0
SWKS,2023-11-10,14400000000.0
SWKS,2024-01-18,16620000000.000002
SWKS,2024-01-24,17270000000.0
SWKS,2024-04-25,16520000000.0
SWKS,2024-07-25,18000000000.0
SWKS,2024-11-07,14580000000.0
SWKS,2025-01-17,15050000000.0
SWKS,2025-01-31,14270000000.0
