Company,Date,Market Cap
SWK,2010-02-16,4420000000.0
SWK,2010-05-11,9860000000.0
SWK,2010-07-29,9480000000.0
SWK,2010-10-29,10290000000.0
SWK,2011-02-15,12250000000.0
SWK,2011-05-05,12440000000.0
SWK,2011-07-22,11800000000.0
SWK,2011-10-31,10780000000.0
SWK,2012-01-31,11900000000.0
SWK,2012-04-19,12460000000.0
SWK,2012-06-17,10640000000.0
SWK,2012-10-25,11540000000.0
SWK,2013-01-25,12320000000.0
SWK,2013-04-17,12370000000.0
SWK,2013-07-18,13090000000.0
SWK,2013-10-18,11980000000.0
SWK,2014-01-24,12110000000.0
SWK,2014-04-17,12780000000.0
SWK,2014-07-17,13280000000.0
SWK,2014-10-13,12740000000.0
SWK,2015-02-04,15060000000.0
SWK,2015-04-23,15340000000.0
SWK,2015-07-16,16430000000.0
SWK,2015-10-15,14780000000.0
SWK,2016-02-01,14350000000.0
SWK,2016-04-15,16329999999.999998
SWK,2016-07-18,17650000000.0
SWK,2016-10-21,18040000000.0
SWK,2017-02-01,18720000000.0
SWK,2017-04-17,20070000000.0
SWK,2017-07-17,22460000000.0
SWK,2017-10-19,24100000000.0
SWK,2018-02-22,24620000000.0
SWK,2018-04-18,24290000000.0
SWK,2018-07-17,20760000000.0
SWK,2018-10-19,17840000000.0
SWK,2019-02-15,20640000000.0
SWK,2019-04-19,22080000000.0
SWK,2019-07-19,21780000000.0
SWK,2019-10-18,22790000000.0
SWK,2020-02-17,25720000000.0
SWK,2020-04-20,17030000000.000002
SWK,2020-07-20,24310000000.0
SWK,2020-10-16,28260000000.0
SWK,2021-02-15,28250000000.0
SWK,2021-04-21,33320000000.0
SWK,2021-07-22,32960000000.0
SWK,2021-11-08,30110000000.0
SWK,2022-02-16,27310000000.0
SWK,2022-04-22,21360000000.0
SWK,2022-07-22,17100000000.000002
SWK,2022-10-21,10940000000.0
SWK,2023-02-13,13660000000.0
SWK,2023-04-26,11830000000.0
SWK,2023-07-27,15070000000.0
SWK,2023-10-24,12170000000.0
SWK,2024-02-20,13610000000.0
SWK,2024-04-25,13670000000.0
SWK,2024-07-25,13790000000.0
SWK,2024-10-24,15860000000.0
