Company,Date,Market Cap
TAP,2010-02-12,6240000000.0
TAP,2010-04-29,7170000000.0
TAP,2010-07-29,7220000000.0
TAP,2010-10-29,7610000000.0
TAP,2011-02-14,7280000000.0
TAP,2011-04-28,7990000000.0
TAP,2011-07-28,7350000000.0
TAP,2011-10-28,6710000000.0
TAP,2012-02-17,7080000000.0
TAP,2012-05-03,6620000000.0
TAP,2012-08-02,6420000000.0
TAP,2012-11-02,6780000000.0
TAP,2013-02-15,6820000000.0
TAP,2013-05-02,7960000000.0
TAP,2013-08-01,8090000000.0
TAP,2013-11-01,8600000000.0
TAP,2014-02-07,8369999999.999999
TAP,2014-05-02,9720000000.0
TAP,2014-08-01,10880000000.0
TAP,2014-10-31,12030000000.0
TAP,2015-02-06,12570000000.0
TAP,2015-05-01,12060000000.0
TAP,2015-07-31,11580000000.0
TAP,2015-10-30,14350000000.0
TAP,2016-02-05,16800000000.0
TAP,2016-04-28,18540000000.0
TAP,2016-07-28,18960000000.0
TAP,2016-10-27,20350000000.0
TAP,2017-02-09,18790000000.0
TAP,2017-04-28,18670000000.0
TAP,2017-07-28,17390000000.0
TAP,2017-10-27,15310000000.0
TAP,2018-02-09,14500000000.0
TAP,2018-04-26,14180000000.0
TAP,2018-07-26,12770000000.0
TAP,2018-10-25,11120000000.0
TAP,2019-02-07,12850000000.0
TAP,2019-04-25,12320000000.0
TAP,2019-07-25,11120000000.0
TAP,2019-10-24,11560000000.0
TAP,2020-02-05,860210000.0
TAP,2020-04-23,8230000000.0
TAP,2020-07-23,7180000000.0
TAP,2020-10-22,7070000000.0
TAP,2021-02-04,9830000000.0
TAP,2021-04-22,10480000000.0
TAP,2021-07-22,10120000000.0
TAP,2021-10-21,8920000000.0
TAP,2022-02-16,9920000000.0
TAP,2022-04-26,10860000000.0
TAP,2022-07-26,11650000000.0
TAP,2022-10-25,10120000000.0
TAP,2023-02-14,10330000000.0
TAP,2023-07-25,14200000000.0
TAP,2024-04-23,12660000000.0
TAP,2024-07-30,10260000000.0
TAP,2024-10-31,10540000000.0
