Company,Date,Market Cap
TDG,2010-01-29,2370000000.0
TDG,2010-04-30,2720000000.0
TDG,2010-07-30,2670000000.0
TDG,2010-10-29,3280000000.0
TDG,2011-01-28,3810000000.0
TDG,2011-04-29,4160000000.0
TDG,2011-07-29,4520000000.0
TDG,2011-10-28,4700000000.0
TDG,2012-01-27,5130000000.0
TDG,2012-04-27,6490000000.0
TDG,2012-07-27,6260000000.0
TDG,2012-10-27,7000000000.0
TDG,2013-01-26,7200000000.0
TDG,2013-04-27,7610000000.0
TDG,2013-07-27,7490000000.0
TDG,2013-10-26,7700000000.0
TDG,2014-01-25,8920000000.0
TDG,2014-04-26,9280000000.0
TDG,2014-07-26,8970000000.0
TDG,2014-10-25,9590000000.0
TDG,2015-01-24,10980000000.0
TDG,2015-04-25,11880000000.0
TDG,2015-07-26,12020000000.0
TDG,2015-11-03,12080000000.0
TDG,2016-01-26,12060000000.0
TDG,2016-07-28,14860000000.0
TDG,2016-11-06,14270000000.0
TDG,2017-01-30,11450000000.0
TDG,2017-05-01,13000000000.0
TDG,2017-07-31,14650000000.0
TDG,2017-11-06,14700000000.0
TDG,2018-01-29,16559999999.999998
TDG,2018-04-30,16809999999.999998
TDG,2018-07-31,19760000000.0
TDG,2018-11-02,18150000000.0
TDG,2019-02-01,20800000000.0
TDG,2019-03-30,25830000000.0
TDG,2019-07-29,26200000000.0
TDG,2019-11-17,29980000000.0
TDG,2020-01-26,35250000000.0
TDG,2020-04-27,17170000000.000002
TDG,2020-07-22,24150000000.0
TDG,2020-10-28,24940000000.0
TDG,2021-01-25,30630000000.0
TDG,2021-04-30,33689999999.999996
TDG,2021-07-29,36090000000.0
TDG,2021-11-03,34420000000.0
TDG,2022-01-31,34180000000.0
TDG,2022-04-27,33580000000.0
TDG,2022-08-01,34170000000.0
TDG,2022-10-31,31310000000.0
TDG,2023-01-31,39190000000.0
TDG,2023-04-30,42020000000.0
TDG,2023-07-31,49650000000.0
TDG,2023-10-31,45810000000.0
TDG,2024-01-31,60760000000.0
TDG,2024-04-30,69840000000.0
TDG,2024-07-31,72620000000.0
TDG,2024-10-31,73230000000.0
TDG,2025-01-31,75900000000.0
