Company,Date,Market Cap
TDY,2010-02-26,1360000000.0
TDY,2010-04-30,1580000000.0
TDY,2010-07-30,1490000000.0
TDY,2010-10-29,1510000000.0
TDY,2011-02-25,1930000000.0
TDY,2011-04-29,1850000000.0
TDY,2011-07-29,1990000000.0
TDY,2011-10-28,2069999999.9999998
TDY,2012-02-24,2240000000.0
TDY,2012-05-02,2390000000.0
TDY,2012-08-01,2280000000.0
TDY,2012-10-31,2360000000.0
TDY,2013-02-22,2670000000.0
TDY,2013-04-30,2800000000.0
TDY,2013-07-30,3020000000.0
TDY,2013-10-31,3330000000.0
TDY,2014-02-21,3640000000.0
TDY,2014-04-25,3470000000.0
TDY,2014-07-25,3510000000.0
TDY,2014-10-24,3630000000.0
TDY,2015-02-24,3630000000.0
TDY,2015-04-28,3820000000.0
TDY,2015-07-28,3670000000.0
TDY,2015-10-28,3140000000.0
TDY,2016-02-25,2870000000.0
TDY,2016-05-04,3170000000.0
TDY,2016-08-05,3690000000.0
TDY,2016-11-04,3590000000.0
TDY,2017-02-28,4630000000.0
TDY,2017-05-10,4700000000.0
TDY,2017-07-31,4820000000.0
TDY,2017-10-31,6020000000.0
TDY,2018-02-23,6790000000.0
TDY,2018-05-02,6440000000.0
TDY,2018-08-01,7860000000.0
TDY,2018-10-24,7940000000.0
TDY,2019-02-21,8449999999.999999
TDY,2019-04-24,9050000000.0
TDY,2019-07-24,10900000000.0
TDY,2019-10-23,11930000000.0
TDY,2020-02-19,14430000000.0
TDY,2020-04-20,11650000000.0
TDY,2020-07-20,11980000000.0
TDY,2020-10-20,12520000000.0
TDY,2021-02-23,14100000000.0
TDY,2021-04-27,16420000000.000002
TDY,2021-07-29,20920000000.0
TDY,2021-10-25,20760000000.0
TDY,2022-02-23,19200000000.0
TDY,2022-04-22,21920000000.0
TDY,2022-10-19,16340000000.0
TDY,2023-02-17,20630000000.0
TDY,2023-04-19,20120000000.0
TDY,2023-07-25,19520000000.0
TDY,2023-10-23,18170000000.0
TDY,2024-02-16,20480000000.0
TDY,2024-04-19,19030000000.0
TDY,2024-07-19,18380000000.0
TDY,2024-10-18,20970000000.0
