Company,Date,Market Cap
TECH,2010-02-05,2290000000.0
TECH,2010-05-06,2310000000.0
TECH,2010-08-26,2160000000.0
TECH,2010-11-03,2270000000.0
TECH,2011-02-03,2540000000.0
TECH,2011-05-03,2970000000.0
TECH,2011-08-24,2670000000.0
TECH,2011-11-02,2500000000.0
TECH,2012-01-31,2520000000.0
TECH,2012-05-03,2520000000.0
TECH,2012-08-24,2490000000.0
TECH,2012-11-02,2510000000.0
TECH,2013-02-01,2640000000.0
TECH,2013-05-03,2390000000.0
TECH,2013-08-23,2820000000.0
TECH,2013-11-04,3230000000.0
TECH,2014-01-31,3350000000.0
TECH,2014-05-06,3340000000.0
TECH,2014-08-22,3540000000.0
TECH,2014-11-06,3380000000.0
TECH,2015-02-03,3350000000.0
TECH,2015-05-04,3600000000.0
TECH,2015-08-26,3550000000.0
TECH,2015-11-06,3330000000.0
TECH,2016-02-04,3150000000.0
TECH,2016-05-06,3760000000.0
TECH,2016-08-26,3940000000.0
TECH,2016-11-04,3710000000.0
TECH,2017-02-06,3760000000.0
TECH,2017-05-05,4139999999.9999995
TECH,2017-08-30,4510000000.0
TECH,2017-11-03,4840000000.0
TECH,2018-02-02,5180000000.0
TECH,2018-05-02,5510000000.0
TECH,2018-08-23,7090000000.0
TECH,2018-11-02,6430000000.0
TECH,2019-02-01,6640000000.0
TECH,2019-05-01,7660000000.0
TECH,2019-08-26,7240000000.0
TECH,2019-11-01,8020000000.0
TECH,2020-02-03,7950000000.0
TECH,2020-05-04,9040000000.0
TECH,2020-08-21,9940000000.0
TECH,2020-11-02,10040000000.0
TECH,2021-02-01,13190000000.0
TECH,2021-05-03,16579999999.999998
TECH,2021-08-20,18740000000.0
TECH,2021-11-01,20630000000.0
TECH,2022-02-03,16090000000.0
TECH,2022-05-03,15040000000.0
TECH,2022-08-19,13910000000.0
TECH,2022-11-02,11690000000.0
TECH,2023-02-01,12780000000.0
TECH,2023-05-03,13540000000.0
TECH,2023-11-01,8359999999.999999
TECH,2024-02-02,10370000000.0
TECH,2024-05-01,11580000000.0
TECH,2024-08-16,11820000000.0
TECH,2024-10-31,11720000000.0
TECH,2025-02-03,11390000000.0
