Company,Date,Market Cap
TGT,2010-03-10,41760000000.0
TGT,2010-05-26,39470000000.0
TGT,2010-08-25,37210000000.0
TGT,2010-12-01,41080000000.0
TGT,2011-03-07,35550000000.0
TGT,2011-05-23,34119999999.999996
TGT,2011-08-22,33799999999.999996
TGT,2011-11-18,35590000000.0
TGT,2012-03-12,38760000000.0
TGT,2012-05-18,36670000000.0
TGT,2012-08-20,41680000000.0
TGT,2012-11-16,40670000000.0
TGT,2013-03-15,42840000000.0
TGT,2013-05-28,44600000000.0
TGT,2013-08-23,40610000000.0
TGT,2013-11-02,40820000000.0
TGT,2013-11-22,40260000000.0
TGT,2014-03-10,38720000000.0
TGT,2014-05-23,35290000000.0
TGT,2014-08-22,38690000000.0
TGT,2014-11-21,45550000000.0
TGT,2015-03-06,49550000000.0
TGT,2015-05-22,50630000000.0
TGT,2015-08-20,50690000000.0
TGT,2015-11-19,43460000000.0
TGT,2016-03-04,48680000000.0
TGT,2016-05-19,39520000000.0
TGT,2016-08-18,40410000000.0
TGT,2016-11-17,42760000000.0
TGT,2017-03-02,32030000000.0
TGT,2017-05-16,30080000000.0
TGT,2017-08-15,29690000000.0
TGT,2017-11-14,32659999999.999996
TGT,2018-03-08,37580000000.0
TGT,2018-05-23,37940000000.0
TGT,2018-08-22,45230000000.0
TGT,2018-11-21,36140000000.0
TGT,2019-03-07,39330000000.0
TGT,2019-05-24,41790000000.0
TGT,2019-08-26,53530000000.0
TGT,2019-11-22,64370000000.00001
TGT,2020-03-05,53090000000.0
TGT,2020-05-22,58750000000.0
TGT,2020-08-21,76910000000.0
TGT,2020-11-20,86290000000.0
TGT,2021-03-04,84670000000.0
TGT,2021-05-21,111360000000.0
TGT,2021-08-20,123670000000.0
TGT,2021-11-19,120120000000.0
TGT,2022-03-03,103510000000.0
TGT,2022-05-20,72040000000.0
TGT,2022-08-19,76880000000.0
TGT,2022-11-18,74980000000.0
TGT,2023-05-19,70290000000.0
TGT,2023-08-18,60570000000.0
TGT,2023-11-17,59970000000.0
TGT,2024-03-06,80120000000.0
TGT,2024-05-24,67190000000.0
TGT,2024-08-23,73020000000.0
TGT,2024-11-21,55710000000.0
