Company,Date,Market Cap
TMO,2010-02-05,19240000000.0
TMO,2010-04-03,21250000000.0
TMO,2010-07-03,19390000000.0
TMO,2010-10-02,19010000000.0
TMO,2011-02-05,21860000000.0
TMO,2011-04-02,21450000000.0
TMO,2011-07-02,24830000000.0
TMO,2012-02-04,20590000000.0
TMO,2012-03-31,20710000000.0
TMO,2012-06-30,18980000000.0
TMO,2012-09-29,21190000000.0
TMO,2013-02-02,26740000000.0
TMO,2013-03-30,27450000000.0
TMO,2013-06-29,30510000000.0
TMO,2013-09-28,33610000000.0
TMO,2014-03-29,47270000000.0
TMO,2014-06-28,47240000000.0
TMO,2014-09-27,48550000000.0
TMO,2015-01-31,49680000000.0
TMO,2015-03-28,53220000000.0
TMO,2015-06-27,52680000000.0
TMO,2015-09-26,48950000000.0
TMO,2016-02-06,48810000000.0
TMO,2016-04-02,56140000000.0
TMO,2016-07-02,58840000000.0
TMO,2017-02-04,59120000000.0
TMO,2017-09-30,75870000000.0
TMO,2018-02-03,87460000000.0
TMO,2018-03-31,83060000000.0
TMO,2018-06-30,83440000000.0
TMO,2018-09-29,98260000000.0
TMO,2019-02-02,97130000000.0
TMO,2019-03-30,109480000000.0
TMO,2019-06-29,117610000000.0
TMO,2019-09-28,115240000000.0
TMO,2020-03-28,108350000000.0
TMO,2020-06-27,138830000000.0
TMO,2020-09-26,167370000000.0
TMO,2021-02-06,193970000000.0
TMO,2021-04-03,179340000000.0
TMO,2021-07-03,201950000000.0
TMO,2021-10-02,225680000000.0
TMO,2022-02-05,232530000000.0
TMO,2022-04-02,231880000000.0
TMO,2022-07-02,214810000000.0
TMO,2023-02-04,226540000000.0
TMO,2023-09-30,195570000000.0
TMO,2024-02-03,210420000000.0
TMO,2024-03-30,221860000000.0
TMO,2024-06-29,211240000000.0
TMO,2024-09-28,235020000000.0
