Company,Date,Market Cap
TPL,2010-03-31,274590000.0
TPL,2010-06-30,255740000.0
TPL,2010-09-30,385590000.0
TPL,2011-03-31,422870000.0
TPL,2011-06-30,424150000.0
TPL,2011-09-30,337500000.0
TPL,2012-03-31,427370000.0
TPL,2012-06-30,512330000.00000006
TPL,2012-09-30,488480000.0
TPL,2012-12-31,469930000.0
TPL,2013-03-01,491740000.0
TPL,2013-06-30,729660000.0
TPL,2013-09-30,722800000.0
TPL,2014-03-31,1090000000.0
TPL,2014-06-30,1350000000.0
TPL,2014-09-30,1610000000.0
TPL,2014-12-31,982040000.0
TPL,2015-03-31,1200000000.0
TPL,2015-09-30,1150000000.0
TPL,2015-12-31,1060000000.0
TPL,2016-03-31,1170000000.0
TPL,2016-06-30,1350000000.0
TPL,2016-09-30,1900000000.0
TPL,2016-12-31,2370000000.0
TPL,2017-03-31,2210000000.0
TPL,2017-06-30,2310000000.0
TPL,2017-09-30,3170000000.0
TPL,2017-12-31,3490000000.0
TPL,2018-04-30,4250000000.0
TPL,2018-07-31,5760000000.0
TPL,2018-10-31,5910000000.0
TPL,2019-01-31,5400000000.0
TPL,2019-04-30,6220000000.0
TPL,2019-07-31,6180000000.0
TPL,2019-10-31,4410000000.0
TPL,2020-01-31,5860000000.0
TPL,2020-04-30,4420000000.0
TPL,2020-07-31,4130000000.0
TPL,2020-10-30,3490000000.0
TPL,2021-01-31,6450000000.0
TPL,2021-04-30,11950000000.0
TPL,2021-07-30,11570000000.0
TPL,2021-10-29,9870000000.0
TPL,2022-01-31,8330000000.0
TPL,2022-04-30,10580000000.0
TPL,2022-07-29,14160000000.0
TPL,2022-10-31,17750000000.0
TPL,2023-02-14,14840000000.0
TPL,2023-04-28,11370000000.0
TPL,2023-07-31,11570000000.0
TPL,2023-10-30,14090000000.0
TPL,2024-02-14,11020000000.0
TPL,2024-04-30,13250000000.0
TPL,2024-07-31,19420000000.0
TPL,2024-10-31,26790000000.0
