Company,Date,Market Cap
TRMB,2010-02-24,3270000000.0
TRMB,2010-05-05,3680000000.0
TRMB,2010-08-05,3500000000.0
TRMB,2010-11-04,4580000000.0
TRMB,2011-02-24,5730000000.0
TRMB,2011-05-06,5380000000.0
TRMB,2011-08-04,4530000000.0
TRMB,2011-11-03,5360000000.0
TRMB,2012-02-21,6330000000.0
TRMB,2012-05-01,6750000000.0
TRMB,2012-08-01,5610000000.0
TRMB,2012-11-02,6650000000.0
TRMB,2013-02-22,7540000000.0
TRMB,2013-03-21,7520000000.0
TRMB,2013-04-29,7230000000.0
TRMB,2013-07-29,7150000000.0
TRMB,2013-10-30,7320000000.0
TRMB,2014-02-20,10040000000.0
TRMB,2014-05-07,9150000000.0
TRMB,2014-08-05,8119999999.999999
TRMB,2014-11-05,7070000000.0
TRMB,2015-02-20,6880000000.0
TRMB,2015-05-07,6560000000.0
TRMB,2015-08-07,5060000000.0
TRMB,2015-11-05,5680000000.0
TRMB,2016-02-19,5910000000.0
TRMB,2016-05-06,5840000000.0
TRMB,2016-08-05,6920000000.0
TRMB,2016-11-04,6480000000.0
TRMB,2017-02-22,7940000000.0
TRMB,2017-05-04,9020000000.0
TRMB,2017-08-04,9560000000.0
TRMB,2017-11-03,10100000000.0
TRMB,2018-02-22,9480000000.0
TRMB,2018-05-04,8700000000.0
TRMB,2018-08-01,8810000000.0
TRMB,2018-11-02,9590000000.0
TRMB,2019-02-19,9910000000.0
TRMB,2019-05-03,10910000000.0
TRMB,2019-08-01,9600000000.0
TRMB,2019-11-01,10170000000.0
TRMB,2020-02-26,10690000000.0
TRMB,2020-05-06,7960000000.0
TRMB,2020-08-05,11490000000.0
TRMB,2020-11-04,13270000000.0
TRMB,2021-02-24,19090000000.0
TRMB,2021-05-05,20360000000.0
TRMB,2021-08-04,21820000000.0
TRMB,2021-11-01,21900000000.0
TRMB,2022-02-18,17170000000.000002
TRMB,2022-05-02,16809999999.999998
TRMB,2022-08-02,16980000000.0
TRMB,2022-10-28,14860000000.0
TRMB,2023-02-14,13730000000.0
TRMB,2023-04-28,11670000000.0
TRMB,2023-07-31,13360000000.0
TRMB,2023-10-30,11530000000.0
TRMB,2024-02-20,14770000000.0
TRMB,2025-01-09,17830000000.0
