Company,Date,Market Cap
TSCO,2010-01-23,1810000000.0
TSCO,2010-04-24,2540000000.0
TSCO,2010-07-24,2530000000.0
TSCO,2010-09-03,2640000000.0
TSCO,2010-10-23,2790000000.0
TSCO,2011-01-22,3370000000.0
TSCO,2011-04-23,4400000000.0
TSCO,2011-07-23,4860000000.0
TSCO,2011-10-22,5220000000.0
TSCO,2012-01-28,5740000000.0
TSCO,2012-04-28,7170000000.0
TSCO,2012-07-28,6520000000.0
TSCO,2012-10-27,6490000000.0
TSCO,2013-01-26,6630000000.0
TSCO,2013-04-27,7570000000.0
TSCO,2013-07-27,8320000000.0
TSCO,2013-09-27,9270000000.0
TSCO,2013-10-26,10220000000.0
TSCO,2014-01-25,9790000000.0
TSCO,2014-04-26,9100000000.0
TSCO,2014-07-26,8740000000.0
TSCO,2014-10-25,9740000000.0
TSCO,2015-01-24,10860000000.0
TSCO,2015-04-25,12410000000.0
TSCO,2015-07-25,12710000000.0
TSCO,2015-10-24,12150000000.0
TSCO,2016-01-23,11350000000.0
TSCO,2016-04-23,12600000000.0
TSCO,2016-07-23,12230000000.0
TSCO,2016-10-22,8520000000.0
TSCO,2017-01-28,9720000000.0
TSCO,2017-04-29,7960000000.0
TSCO,2017-07-29,7170000000.0
TSCO,2017-10-28,7320000000.0
TSCO,2018-01-27,9900000000.0
TSCO,2018-04-28,8350000000.0
TSCO,2018-07-28,9290000000.0
TSCO,2018-10-27,11090000000.0
TSCO,2019-01-26,10870000000.0
TSCO,2019-04-27,12680000000.0
TSCO,2019-07-27,13110000000.0
TSCO,2019-10-26,11420000000.0
TSCO,2020-01-25,10970000000.0
TSCO,2020-04-25,11790000000.0
TSCO,2020-07-25,17030000000.000002
TSCO,2020-09-26,16219999999.999998
TSCO,2021-01-23,18100000000.0
TSCO,2021-04-24,21830000000.0
TSCO,2021-07-24,21460000000.0
TSCO,2021-10-23,23700000000.0
TSCO,2022-01-22,23580000000.0
TSCO,2022-04-23,23120000000.0
TSCO,2022-07-23,21630000000.0
TSCO,2022-10-22,21800000000.0
TSCO,2023-01-28,24840000000.0
TSCO,2023-04-24,27390000000.0
TSCO,2023-07-29,24370000000.0
TSCO,2023-10-28,20300000000.0
TSCO,2024-01-27,24560000000.0
TSCO,2024-04-27,29530000000.0
TSCO,2024-07-27,28320000000.0
TSCO,2024-10-26,29140000000.0
