Company,Date,Market Cap
TSN,2010-04-03,5990000000.0
TSN,2010-07-03,5050000000.0
TSN,2010-10-30,4780000000.0
TSN,2011-04-02,5980000000.0
TSN,2011-07-02,5960000000.0
TSN,2011-10-29,5870000000.0
TSN,2011-12-31,6170000000.0
TSN,2012-03-31,5660000000.0
TSN,2012-06-30,5500000000.0
TSN,2012-10-27,4780000000.0
TSN,2012-12-29,5460000000.0
TSN,2013-03-30,7070000000.0
TSN,2013-06-29,7250000000.0
TSN,2013-10-26,7700000000.0
TSN,2013-12-28,9050000000.0
TSN,2014-03-29,12010000000.0
TSN,2014-06-28,10550000000.0
TSN,2014-10-25,11840000000.0
TSN,2014-12-27,12240000000.0
TSN,2015-03-28,11600000000.0
TSN,2015-06-27,13270000000.0
TSN,2015-10-31,13110000000.0
TSN,2016-04-02,20460000000.0
TSN,2016-07-02,19640000000.0
TSN,2016-10-29,20260000000.0
TSN,2016-12-31,17700000000.0
TSN,2017-09-30,20970000000.0
TSN,2017-12-30,24120000000.0
TSN,2018-03-31,21780000000.0
TSN,2018-06-30,20370000000.0
TSN,2018-10-27,17840000000.0
TSN,2018-12-29,15450000000.0
TSN,2019-03-30,20470000000.0
TSN,2019-06-29,23790000000.0
TSN,2019-10-26,23170000000.0
TSN,2019-12-28,26970000000.0
TSN,2020-03-28,17240000000.0
TSN,2020-06-27,17149999999.999998
TSN,2020-10-31,16829999999.999998
TSN,2021-04-03,22070000000.0
TSN,2021-07-03,21700000000.0
TSN,2021-10-30,23570000000.0
TSN,2022-04-02,26540000000.0
TSN,2022-07-02,24690000000.0
TSN,2022-10-29,19880000000.0
TSN,2023-10-28,13010000000.0
TSN,2024-03-30,16800000000.0
TSN,2024-06-29,16329999999.999998
TSN,2024-10-26,16770000000.0
TSN,2024-12-28,16590000000.0
