Company,Date,Market Cap
TT,2020-04-17,21510000000.0
TT,2020-07-17,24520000000.0
TT,2020-10-16,31510000000.0
TT,2021-02-01,34040000000.0
TT,2021-04-23,41930000000.0
TT,2021-07-23,47870000000.0
TT,2021-10-22,43030000000.0
TT,2022-02-01,39040000000.0
TT,2022-04-22,34820000000.0
TT,2022-07-22,32259999999.999996
TT,2022-10-22,33360000000.0
TT,2023-02-03,42680000000.0
TT,2023-04-21,40350000000.0
TT,2023-07-21,44280000000.0
TT,2023-10-20,42610000000.0
TT,2024-02-02,62850000000.0
TT,2024-04-26,68930000000.0
TT,2024-07-26,74410000000.0
TT,2024-10-25,88340000000.0
TT,2025-01-31,81360000000.0
