Company,Date,Market Cap
ULTA,2010-03-25,1320000000.0
ULTA,2010-05-27,1440000000.0
ULTA,2010-08-26,1370000000.0
ULTA,2010-11-24,2049999999.9999998
ULTA,2011-03-24,2900000000.0
ULTA,2011-05-31,3430000000.0
ULTA,2011-09-01,3530000000.0
ULTA,2011-11-23,4080000000.0
ULTA,2012-03-22,5850000000.0
ULTA,2012-05-29,5740000000.0
ULTA,2012-08-29,5970000000.0
ULTA,2012-11-20,5670000000.0
ULTA,2013-03-28,5170000000.0
ULTA,2013-06-03,5720000000.0
ULTA,2013-09-04,6260000000.0
ULTA,2013-11-26,8279999999.999999
ULTA,2014-03-27,6350000000.0
ULTA,2014-06-02,5580000000.0
ULTA,2014-09-03,6380000000.0
ULTA,2014-11-25,8090000000.0
ULTA,2015-03-26,9640000000.0
ULTA,2015-05-28,10040000000.0
ULTA,2015-08-27,10250000000.0
ULTA,2015-11-25,10840000000.0
ULTA,2016-03-24,12010000000.0
ULTA,2016-05-26,13350000000.0
ULTA,2016-08-22,16879999999.999998
ULTA,2016-11-28,16280000000.000002
ULTA,2017-03-23,17470000000.0
ULTA,2017-05-26,18760000000.0
ULTA,2017-08-28,12760000000.0
ULTA,2017-11-27,12610000000.0
ULTA,2018-03-29,12380000000.0
ULTA,2018-05-29,15270000000.0
ULTA,2018-08-28,14490000000.0
ULTA,2018-12-04,17270000000.0
ULTA,2019-03-28,20300000000.0
ULTA,2019-05-24,19590000000.0
ULTA,2019-08-26,19430000000.0
ULTA,2019-12-02,13510000000.0
ULTA,2020-03-23,8070000000.0
ULTA,2020-08-24,12530000000.0
ULTA,2020-11-30,15520000000.0
ULTA,2021-03-22,17710000000.0
ULTA,2021-05-21,17310000000.0
ULTA,2021-08-23,20110000000.0
ULTA,2021-11-29,21720000000.0
ULTA,2022-03-21,20180000000.0
ULTA,2022-05-23,17960000000.0
ULTA,2022-08-22,20360000000.0
ULTA,2022-11-28,23260000000.0
ULTA,2023-03-20,25610000000.0
ULTA,2023-05-22,23940000000.0
ULTA,2023-08-21,22050000000.0
ULTA,2023-11-27,20140000000.0
ULTA,2024-03-22,25120000000.0
ULTA,2024-08-26,17670000000.0
ULTA,2024-12-02,18270000000.0
