Company,Date,Market Cap
UNP,2010-01-29,30570000000.0
UNP,2010-04-16,38440000000.0
UNP,2010-07-16,34240000000.000004
UNP,2010-10-15,42020000000.0
UNP,2011-01-28,45930000000.0
UNP,2011-04-15,48200000000.0
UNP,2011-07-15,49170000000.0
UNP,2011-10-14,44430000000.0
UNP,2012-01-27,55160000000.0
UNP,2012-04-13,51450000000.0
UNP,2012-05-10,53820000000.0
UNP,2012-07-13,55960000000.0
UNP,2012-10-12,56940000000.0
UNP,2013-02-01,62870000000.0
UNP,2013-04-12,65940000000.0
UNP,2013-07-12,74560000000.0
UNP,2013-10-11,72480000000.0
UNP,2014-01-31,79290000000.0
UNP,2014-04-11,82010000000.0
UNP,2014-06-09,92520000000.0
UNP,2014-07-18,90950000000.0
UNP,2014-10-17,94600000000.0
UNP,2015-01-30,103300000000.0
UNP,2015-04-17,94930000000.0
UNP,2015-07-17,84530000000.0
UNP,2015-10-16,79380000000.0
UNP,2016-01-29,60940000000.0
UNP,2016-04-15,68300000000.0
UNP,2016-07-15,78280000000.0
UNP,2016-10-14,79810000000.0
UNP,2017-01-27,88870000000.0
UNP,2017-04-21,87430000000.0
UNP,2017-07-14,87670000000.0
UNP,2017-10-20,88940000000.0
UNP,2018-02-02,100810000000.0
UNP,2018-04-20,104490000000.0
UNP,2018-07-13,103480000000.0
UNP,2018-10-19,109560000000.0
UNP,2019-02-01,115420000000.0
UNP,2019-04-12,119980000000.0
UNP,2019-07-12,122620000000.0
UNP,2019-10-11,112040000000.0
UNP,2020-01-31,123850000000.0
UNP,2020-04-17,101710000000.0
UNP,2020-07-17,123040000000.0
UNP,2020-10-16,141410000000.0
UNP,2021-01-29,132270000000.00002
UNP,2021-04-16,147950000000.0
UNP,2021-07-16,142440000000.0
UNP,2021-10-15,144750000000.0
UNP,2022-01-28,156630000000.0
UNP,2022-07-15,130600000000.0
UNP,2022-10-14,119140000000.0
UNP,2023-02-03,128669999999.99998
UNP,2023-04-14,121040000000.0
UNP,2023-07-21,132120000000.0
UNP,2023-10-13,126640000000.0
UNP,2024-02-02,151430000000.0
UNP,2024-04-19,141600000000.0
UNP,2024-07-19,147620000000.0
UNP,2024-10-18,147990000000.0
