Company,Date,Market Cap
UPS,2010-02-17,41060000000.0
UPS,2010-04-29,50210000000.0
UPS,2010-07-29,46680000000.0
UPS,2010-10-28,49320000000.0
UPS,2011-02-15,54970000000.0
UPS,2011-04-26,54820000000.0
UPS,2011-07-28,50930000000.0
UPS,2011-10-27,51780000000.0
UPS,2012-02-10,55420000000.0
UPS,2012-04-20,58250000000.0
UPS,2012-07-20,56980000000.0
UPS,2012-10-25,52970000000.0
UPS,2013-01-31,57910000000.0
UPS,2013-04-24,60510000000.0
UPS,2013-07-23,63140000000.0
UPS,2013-10-28,69980000000.0
UPS,2014-01-31,67750000000.0
UPS,2014-04-29,69210000000.0
UPS,2014-07-29,69830000000.0
UPS,2014-11-03,74200000000.0
UPS,2015-02-18,72050000000.0
UPS,2015-04-27,68349999999.99999
UPS,2015-07-27,66440000000.0
UPS,2015-10-26,73920000000.0
UPS,2016-02-16,68019999999.99999
UPS,2016-04-25,72550000000.0
UPS,2016-07-27,75210000000.0
UPS,2016-10-24,74760000000.0
UPS,2017-02-08,73170000000.0
UPS,2017-05-01,73380000000.0
UPS,2017-07-24,77250000000.0
UPS,2017-10-24,82240000000.0
UPS,2018-02-08,75210000000.0
UPS,2018-04-24,74620000000.0
UPS,2018-07-25,83350000000.0
UPS,2018-10-24,75030000000.0
UPS,2019-02-06,75740000000.0
UPS,2019-04-17,79860000000.0
UPS,2019-07-16,73750000000.0
UPS,2019-10-16,82340000000.0
UPS,2020-02-06,74780000000.0
UPS,2020-04-23,70020000000.0
UPS,2020-10-20,125080000000.0
UPS,2021-02-05,118270000000.0
UPS,2021-04-22,128400000000.0
UPS,2021-07-22,155290000000.0
UPS,2021-10-24,148610000000.0
UPS,2022-02-06,164670000000.0
UPS,2022-04-22,137450000000.0
UPS,2022-07-22,137570000000.0
UPS,2022-10-21,120820000000.0
UPS,2023-04-24,141950000000.0
UPS,2023-10-19,109980000000.0
UPS,2024-04-17,103760000000.0
UPS,2024-07-17,107960000000.0
UPS,2024-10-16,99350000000.0
