Company,Date,Market Cap
URI,2010-02-01,504210000.0
URI,2010-04-19,648550000.0
URI,2010-07-16,620440000.0
URI,2010-10-18,1010000000.0
URI,2011-01-28,1610000000.0
URI,2011-04-15,2000000000.0
URI,2011-07-15,1440000000.0
URI,2011-10-14,1350000000.0
URI,2012-01-23,2120000000.0
URI,2012-02-03,2540000000.0
URI,2012-04-13,2570000000.0
URI,2012-04-18,2920000000.0
URI,2012-07-13,3230000000.0
URI,2012-10-12,2970000000.0
URI,2013-01-21,4650000000.0
URI,2013-04-12,5180000000.0
URI,2013-07-12,4930000000.0
URI,2013-10-14,5400000000.0
URI,2014-01-20,7560000000.0
URI,2014-04-14,8480000000.0
URI,2014-06-30,10070000000.0
URI,2014-07-14,10500000000.0
URI,2014-10-13,9010000000.0
URI,2015-01-19,7940000000.0
URI,2015-04-17,9350000000.0
URI,2015-06-30,8359999999.999999
URI,2015-07-20,7550000000.0
URI,2015-10-19,6070000000.0
URI,2016-01-25,4970000000.0
URI,2016-04-18,5450000000.0
URI,2016-07-18,5960000000.0
URI,2016-10-17,6380000000.0
URI,2017-01-23,9280000000.0
URI,2017-04-17,10220000000.0
URI,2017-07-17,9960000000.0
URI,2017-10-16,12330000000.0
URI,2018-01-22,15800000000.0
URI,2018-04-16,14560000000.0
URI,2018-07-16,12560000000.0
URI,2018-10-15,11160000000.0
URI,2019-01-21,9820000000.0
URI,2019-04-15,9860000000.0
URI,2019-07-15,10400000000.0
URI,2019-10-14,8920000000.0
URI,2020-01-27,10880000000.0
URI,2020-04-27,8000000000.0
URI,2020-07-27,11770000000.0
URI,2020-10-26,13140000000.0
URI,2021-01-25,18300000000.0
URI,2021-04-26,23520000000.0
URI,2021-07-26,23740000000.0
URI,2021-10-25,26520000000.0
URI,2022-01-24,22610000000.0
URI,2022-04-25,22430000000.0
URI,2022-07-25,19440000000.0
URI,2022-10-24,20150000000.0
URI,2023-01-23,27190000000.0
URI,2023-04-24,26370000000.0
URI,2023-07-24,30740000000.0
URI,2023-10-23,27710000000.0
URI,2024-01-22,38900000000.0
URI,2024-04-22,41910000000.0
URI,2024-07-22,48830000000.0
URI,2024-10-21,54630000000.0
URI,2025-01-27,50280000000.0
