Company,Date,Market Cap
VMC,2010-02-19,5750000000.0
VMC,2010-03-31,6030000000.0
VMC,2010-06-30,5620000000.0
VMC,2010-09-30,4740000000.0
VMC,2011-02-21,6030000000.0
VMC,2011-03-31,5890000000.0
VMC,2011-06-30,4980000000.0
VMC,2011-09-30,3560000000.0
VMC,2012-02-17,6160000000.0
VMC,2012-03-31,5530000000.0
VMC,2012-06-30,5140000000.0
VMC,2012-09-30,6130000000.0
VMC,2013-02-14,7130000000.0
VMC,2013-03-31,6720000000.0
VMC,2013-06-30,6290000000.0
VMC,2013-09-30,6730000000.0
VMC,2014-02-12,8539999999.999999
VMC,2014-03-31,8690000000.0
VMC,2014-06-30,8350000000.0
VMC,2014-09-30,7930000000.0
VMC,2015-02-11,10300000000.0
VMC,2015-03-31,11180000000.0
VMC,2015-07-31,12120000000.0
VMC,2015-10-30,12880000000.0
VMC,2016-02-11,11980000000.0
VMC,2016-04-29,14340000000.0
VMC,2016-07-29,16500000000.0
VMC,2016-10-28,14890000000.0
VMC,2017-02-14,16250000000.0
VMC,2017-05-05,16879999999.999998
VMC,2017-07-31,16290000000.0
VMC,2017-10-31,16110000000.0
VMC,2018-02-13,17140000000.0
VMC,2018-07-27,15660000000.0
VMC,2018-10-29,11120000000.0
VMC,2019-02-12,14070000000.0
VMC,2019-04-30,16660000000.0
VMC,2019-07-25,17790000000.0
VMC,2019-10-25,19470000000.0
VMC,2020-02-13,19210000000.0
VMC,2020-04-21,14040000000.0
VMC,2020-07-23,16840000000.0
VMC,2020-10-22,19190000000.0
VMC,2021-02-12,21800000000.0
VMC,2021-04-22,23360000000.0
VMC,2021-07-23,23640000000.0
VMC,2021-10-22,24570000000.0
VMC,2022-02-15,25110000000.0
VMC,2022-04-25,23390000000.0
VMC,2022-07-25,20790000000.0
VMC,2022-10-24,20720000000.0
VMC,2023-02-14,24680000000.0
VMC,2023-04-24,22810000000.0
VMC,2023-07-24,29580000000.0
VMC,2023-10-17,28540000000.0
VMC,2024-02-13,31350000000.0
VMC,2024-04-22,33659999999.999996
VMC,2024-10-16,33869999999.999996
