Company,Date,Market Cap
VRSN,2010-02-17,4420000000.0
VRSN,2010-07-30,4900000000.0
VRSN,2010-10-25,5740000000.0
VRSN,2011-02-18,6370000000.0
VRSN,2011-04-22,6280000000.0
VRSN,2011-07-22,5620000000.0
VRSN,2011-10-21,4910000000.0
VRSN,2012-02-17,5930000000.0
VRSN,2012-04-20,6630000000.0
VRSN,2012-07-20,6750000000.0
VRSN,2012-10-19,7350000000.0
VRSN,2013-02-22,6990000000.0
VRSN,2013-04-19,6740000000.0
VRSN,2013-07-19,6570000000.0
VRSN,2013-10-18,7270000000.0
VRSN,2014-02-14,7290000000.0
VRSN,2014-04-18,6660000000.0
VRSN,2014-07-18,6180000000.0
VRSN,2014-10-17,6570000000.0
VRSN,2015-02-06,7010000000.0
VRSN,2015-04-17,7690000000.0
VRSN,2015-04-22,7290000000.0
VRSN,2015-07-17,7380000000.0
VRSN,2015-10-16,8330000000.0
VRSN,2016-02-12,8430000000.0
VRSN,2016-04-22,9620000000.0
VRSN,2016-07-22,8910000000.0
VRSN,2016-10-21,8529999999.999999
VRSN,2017-02-10,8510000000.0
VRSN,2017-04-21,8980000000.0
VRSN,2017-07-21,9890000000.0
VRSN,2017-10-20,10740000000.0
VRSN,2018-02-09,10590000000.0
VRSN,2018-04-20,12110000000.0
VRSN,2018-07-20,18180000000.0
VRSN,2018-10-19,17090000000.0
VRSN,2019-02-08,20720000000.0
VRSN,2019-04-19,22250000000.0
VRSN,2019-07-19,25360000000.0
VRSN,2019-07-31,11700000000.0
VRSN,2019-10-18,21780000000.0
VRSN,2020-02-07,23870000000.0
VRSN,2020-04-17,24260000000.0
VRSN,2020-07-17,22940000000.0
VRSN,2020-10-16,23660000000.0
VRSN,2021-02-12,22890000000.0
VRSN,2021-04-16,23440000000.0
VRSN,2021-07-16,25700000000.0
VRSN,2021-10-22,24300000000.0
VRSN,2022-02-11,23600000000.0
VRSN,2022-04-22,22550000000.0
VRSN,2022-07-22,19880000000.0
VRSN,2022-10-21,18990000000.0
VRSN,2023-02-10,22040000000.0
VRSN,2023-04-21,22650000000.0
VRSN,2023-07-21,22060000000.0
VRSN,2023-10-20,21250000000.0
VRSN,2024-02-09,20020000000.0
VRSN,2024-04-19,18340000000.0
VRSN,2024-07-19,17290000000.0
VRSN,2024-10-18,18040000000.0
