Company,Date,Market Cap
VTR,2010-02-15,6560000000.0
VTR,2010-04-27,7430000000.0
VTR,2010-07-26,8140000000.000001
VTR,2010-11-01,8449999999.999999
VTR,2011-02-11,9000000000.0
VTR,2011-05-02,9230000000.0
VTR,2011-08-01,15040000000.0
VTR,2011-10-31,16010000000.000002
VTR,2012-02-14,16770000000.0
VTR,2012-04-23,16230000000.0
VTR,2012-06-30,15180000000.0
VTR,2012-10-22,19070000000.0
VTR,2013-04-24,23220000000.0
VTR,2013-07-24,20220000000.0
VTR,2013-10-23,19410000000.0
VTR,2014-02-11,18430000000.0
VTR,2014-04-22,18980000000.0
VTR,2014-08-06,18480000000.0
VTR,2014-10-22,19900000000.0
VTR,2015-02-10,25360000000.0
VTR,2015-04-22,24060000000.0
VTR,2015-07-22,21370000000.0
VTR,2015-10-22,19440000000.0
VTR,2016-04-27,21140000000.0
VTR,2016-07-27,25840000000.0
VTR,2016-10-26,24090000000.0
VTR,2017-02-09,21920000000.0
VTR,2017-04-26,22720000000.0
VTR,2017-07-26,24250000000.0
VTR,2017-10-25,21900000000.0
VTR,2018-01-31,19940000000.0
VTR,2018-04-24,16879999999.999998
VTR,2018-07-24,20570000000.0
VTR,2018-10-23,19760000000.0
VTR,2019-02-05,22940000000.0
VTR,2019-04-23,20930000000.0
VTR,2019-07-23,25360000000.0
VTR,2002-10-03,462390000.0
VTR,2019-10-23,27280000000.0
VTR,2020-02-17,22280000000.0
VTR,2020-05-05,11150000000.0
VTR,2020-08-04,14240000000.0
VTR,2020-11-03,16100000000.000002
VTR,2021-02-18,19330000000.0
VTR,2021-05-04,20770000000.0
VTR,2021-08-03,22620000000.0
VTR,2021-11-04,21070000000.0
VTR,2022-02-15,20340000000.0
VTR,2022-05-03,23130000000.0
VTR,2022-08-03,20610000000.0
VTR,2022-11-01,15350000000.0
VTR,2023-02-03,21040000000.0
VTR,2023-05-03,19040000000.0
VTR,2023-08-01,19540000000.0
VTR,2023-11-01,17210000000.0
VTR,2024-02-07,18150000000.0
VTR,2024-04-29,18080000000.0
VTR,2024-07-30,22670000000.0
VTR,2024-10-28,27150000000.0
