Company,Date,Market Cap
VZ,2010-01-29,83430000000.0
VZ,2010-03-31,87690000000.0
VZ,2010-06-30,79210000000.0
VZ,2010-09-30,92120000000.0
VZ,2011-01-31,100740000000.0
VZ,2011-03-31,109030000000.0
VZ,2011-06-30,105380000000.0
VZ,2011-09-30,104180000000.0
VZ,2012-01-31,106790000000.0
VZ,2012-03-30,108610000000.0
VZ,2012-06-29,126600000000.0
VZ,2012-09-28,130050000000.00002
VZ,2013-01-31,124650000000.0
VZ,2013-03-28,140620000000.0
VZ,2013-06-28,144060000000.0
VZ,2013-09-30,133560000000.0
VZ,2014-02-24,191440000000.0
VZ,2014-03-31,196990000000.0
VZ,2014-06-30,202830000000.0
VZ,2014-09-30,207440000000.0
VZ,2015-01-30,189940000000.0
VZ,2015-03-31,198340000000.0
VZ,2015-06-30,189500000000.0
VZ,2015-09-30,177040000000.0
VZ,2016-01-29,203570000000.0
VZ,2016-03-31,220450000000.0
VZ,2016-06-30,227620000000.0
VZ,2016-09-30,211900000000.0
VZ,2017-01-31,199800000000.0
VZ,2017-03-31,198870000000.0
VZ,2017-06-30,182190000000.0
VZ,2017-09-30,201890000000.0
VZ,2018-01-31,220580000000.0
VZ,2018-03-31,197590000000.0
VZ,2018-06-30,207880000000.0
VZ,2018-09-30,220610000000.0
VZ,2019-01-31,227510000000.0
VZ,2019-03-31,244540000000.0
VZ,2019-06-30,236280000000.0
VZ,2019-09-30,249640000000.0
VZ,2020-01-31,245840000000.0
VZ,2020-03-31,222330000000.0
VZ,2020-06-30,228130000000.0
VZ,2020-09-30,246180000000.0
VZ,2021-01-29,226560000000.0
VZ,2021-03-31,240740000000.0
VZ,2021-06-30,231970000000.0
VZ,2021-09-30,223610000000.0
VZ,2022-01-31,223450000000.0
VZ,2022-03-31,213930000000.0
VZ,2022-06-30,213140000000.0
VZ,2022-09-30,159470000000.0
VZ,2023-01-31,174590000000.0
VZ,2023-03-31,163490000000.0
VZ,2023-06-30,156350000000.0
VZ,2023-09-30,136250000000.0
VZ,2024-01-31,3690000000.0
VZ,2024-03-31,176620000000.0
VZ,2024-06-30,173600000000.0
VZ,2024-09-30,189050000000.0
