Company,Date,Market Cap
V,2010-01-27,39380000000.0
V,2010-04-23,47810000000.0
V,2010-07-22,36980000000.0
V,2010-11-10,39380000000.0
V,2011-01-21,34700000000.0
V,2011-04-27,41280000000.0
V,2011-07-25,46440000000.0
V,2011-11-10,48520000000.0
V,2012-02-01,53850000000.0
V,2012-04-27,65220000000.0
V,2012-07-19,66129999999.99999
V,2012-11-08,76080000000.0
V,2013-02-01,83940000000.0
V,2013-04-26,86620000000.0
V,2013-07-19,97730000000.0
V,2013-11-15,102330000000.0
V,2014-01-24,111580000000.0
V,2014-04-21,104440000000.0
V,2014-07-21,108470000000.0
V,2014-11-14,122730000000.0
V,2015-01-23,126810000000.0
V,2015-03-19,131199999999.99998
V,2015-04-27,131340000000.0
V,2015-07-17,138310000000.0
V,2015-11-13,152040000000.0
V,2016-01-22,139520000000.0
V,2016-04-21,153890000000.0
V,2016-07-15,147710000000.0
V,2016-11-09,155460000000.0
V,2017-01-27,155650000000.0
V,2017-04-14,164080000000.0
V,2017-07-14,177320000000.0
V,2017-11-10,202890000000.0
V,2018-01-26,227710000000.0
V,2018-04-20,221840000000.0
V,2018-07-20,250490000000.0
V,2018-11-09,253290000000.0
V,2019-01-25,242700000000.0
V,2019-04-19,278520000000.0
V,2019-07-19,309540000000.0
V,2019-07-25,11380000000.0
V,2019-11-08,306520000000.0
V,2020-01-24,349740000000.0
V,2020-04-30,301520000000.0
V,2020-07-24,329020000000.0
V,2020-11-13,356210000000.0
V,2021-01-22,342650000000.0
V,2021-04-23,389120000000.0
V,2021-07-23,420260000000.0
V,2021-11-10,359930000000.0
V,2022-01-19,356030000000.0
V,2022-04-20,358420000000.0
V,2022-07-20,348860000000.0
V,2023-01-18,356610000000.0
V,2023-04-19,376350000000.0
V,2023-07-19,387910000000.0
V,2023-11-08,385540000000.0
V,2024-01-17,421700000000.0
V,2024-04-17,429260000000.0
V,2024-07-17,455530000000.0
V,2024-11-06,531220000000.0
V,2025-01-22,557610000000.0
