Company,Date,Market Cap
WAT,2010-02-19,5500000000.0
WAT,2010-04-30,6690000000.0
WAT,2010-07-30,5910000000.0
WAT,2010-10-29,6770000000.0
WAT,2011-02-18,7610000000.0
WAT,2011-04-29,8980000000.0
WAT,2011-07-29,8029999999.999999
WAT,2011-10-28,7370000000.0
WAT,2012-02-17,7890000000.0
WAT,2012-04-27,7450000000.0
WAT,2012-07-27,6930000000.0
WAT,2012-10-26,7090000000.0
WAT,2013-02-22,7960000000.0
WAT,2013-04-26,7910000000.0
WAT,2013-07-26,8539999999.999999
WAT,2013-10-25,8680000000.0
WAT,2014-02-21,9650000000.0
WAT,2014-04-25,9220000000.0
WAT,2014-07-25,8900000000.0
WAT,2014-10-24,9010000000.0
WAT,2015-02-20,10050000000.0
WAT,2015-05-01,10470000000.0
WAT,2015-07-31,10980000000.0
WAT,2015-10-30,10440000000.0
WAT,2016-02-19,9860000000.0
WAT,2016-04-29,10540000000.0
WAT,2016-07-29,12810000000.0
WAT,2016-10-28,11270000000.0
WAT,2017-02-17,12360000000.0
WAT,2017-04-28,13600000000.0
WAT,2017-07-28,13900000000.0
WAT,2017-10-27,15890000000.0
WAT,2018-02-16,16239999999.999998
WAT,2018-04-27,14920000000.0
WAT,2018-07-27,15040000000.0
WAT,2018-10-26,13840000000.0
WAT,2019-02-22,16829999999.999998
WAT,2019-04-26,14880000000.0
WAT,2019-07-26,14530000000.0
WAT,2019-10-25,14050000000.0
WAT,2020-02-21,13450000000.0
WAT,2020-04-24,11840000000.0
WAT,2020-07-24,13810000000.0
WAT,2020-10-23,13770000000.0
WAT,2021-02-19,17520000000.0
WAT,2021-04-30,18500000000.0
WAT,2021-07-30,23920000000.0
WAT,2021-10-29,22430000000.0
WAT,2022-02-18,19130000000.0
WAT,2022-04-29,18250000000.0
WAT,2022-07-29,21800000000.0
WAT,2022-10-28,17980000000.0
WAT,2023-02-24,18510000000.0
WAT,2023-05-05,17520000000.0
WAT,2023-07-28,16890000000.0
WAT,2023-11-03,15400000000.0
WAT,2024-02-23,19610000000.0
WAT,2024-05-03,19060000000.0
WAT,2024-07-26,18870000000.0
WAT,2024-10-25,19270000000.0
