Company,Date,Market Cap
WFC,2010-01-31,147290000000.0
WFC,2010-04-30,172510000000.0
WFC,2010-07-30,145120000000.0
WFC,2010-10-29,136780000000.0
WFC,2011-01-31,170790000000.0
WFC,2011-04-29,153970000000.0
WFC,2011-07-29,147520000000.0
WFC,2011-10-31,136639999999.99998
WFC,2012-01-31,154030000000.0
WFC,2012-04-30,177590000000.0
WFC,2012-07-31,178590000000.0
WFC,2012-10-31,177350000000.0
WFC,2013-01-31,183580000000.0
WFC,2013-04-30,201160000000.0
WFC,2013-10-31,224870000000.0
WFC,2014-01-31,238570000000.0
WFC,2014-04-30,261459999999.99997
WFC,2014-07-31,265720000000.00003
WFC,2014-10-31,275410000000.0
WFC,2015-01-30,267510000000.0
WFC,2015-04-30,283720000000.0
WFC,2015-07-31,297070000000.0
WFC,2015-10-30,276540000000.0
WFC,2016-01-29,255000000000.0
WFC,2016-04-29,253750000000.0
WFC,2016-07-29,242030000000.0
WFC,2016-10-25,229620000000.0
WFC,2017-02-17,290650000000.0
WFC,2017-04-26,272550000000.0
WFC,2017-07-26,272570000000.0
WFC,2017-10-25,272070000000.0
WFC,2018-02-20,292420000000.0
WFC,2018-04-25,258800000000.0
WFC,2018-07-25,280440000000.0
WFC,2018-10-24,236260000000.0
WFC,2019-02-18,223920000000.0
WFC,2019-04-24,213390000000.0
WFC,2019-07-24,213480000000.0
WFC,2019-10-23,215400000000.0
WFC,2020-02-18,192650000000.0
WFC,2020-04-24,110370000000.0
WFC,2020-07-24,108190000000.0
WFC,2020-10-23,96250000000.0
WFC,2021-02-16,143830000000.0
WFC,2021-04-22,176500000000.0
WFC,2021-07-19,176780000000.0
WFC,2021-10-21,200680000000.0
WFC,2022-02-11,222430000000.0
WFC,2022-04-22,175640000000.0
WFC,2022-10-20,166330000000.0
WFC,2023-02-10,180250000000.0
WFC,2023-04-21,154740000000.0
WFC,2023-07-21,83790000000.0
WFC,2023-10-20,146250000000.0
WFC,2024-04-23,212460000000.0
WFC,2024-07-23,203100000000.0
WFC,2024-10-22,215780000000.0
