Company,Date,Market Cap
WMB,2010-02-19,12980000000.0
WMB,2010-04-30,13790000000.0
WMB,2010-07-26,11590000000.0
WMB,2010-10-25,12180000000.0
WMB,2011-02-21,17800000000.0
WMB,2011-05-02,19230000000.0
WMB,2011-08-01,18610000000.0
WMB,2011-10-31,17750000000.0
WMB,2012-02-22,17350000000.0
WMB,2012-04-23,20210000000.0
WMB,2012-06-30,18050000000.0
WMB,2012-10-26,21840000000.0
WMB,2013-02-21,23230000000.0
WMB,2013-05-03,25630000000.0
WMB,2013-07-29,23220000000.0
WMB,2013-10-28,25410000000.0
WMB,2014-02-21,28790000000.0
WMB,2014-04-28,28590000000.0
WMB,2014-07-28,43320000000.0
WMB,2014-10-27,39930000000.0
WMB,2015-02-23,36760000000.0
WMB,2015-04-27,38770000000.0
WMB,2015-07-27,38900000000.0
WMB,2015-10-26,28170000000.0
WMB,2016-02-22,12110000000.0
WMB,2016-05-02,14120000000.0
WMB,2016-07-28,17330000000.0
WMB,2016-10-27,22040000000.0
WMB,2017-02-17,23290000000.0
WMB,2017-04-28,25310000000.0
WMB,2017-07-31,26270000000.0
WMB,2017-10-30,23600000000.0
WMB,2018-02-19,23920000000.0
WMB,2018-04-30,21290000000.0
WMB,2018-07-30,24480000000.0
WMB,2018-10-29,29090000000.0
WMB,2019-02-15,33020000000.000004
WMB,2019-04-29,34280000000.0
WMB,2019-07-29,30050000000.0
WMB,2019-10-28,27840000000.0
WMB,2020-02-19,26130000000.0
WMB,2020-04-30,23500000000.0
WMB,2020-07-30,23470000000.0
WMB,2020-10-29,23180000000.0
WMB,2021-02-19,27480000000.0
WMB,2021-04-29,29860000000.0
WMB,2021-07-29,30920000000.0
WMB,2021-10-28,34530000000.0
WMB,2022-02-18,36010000000.0
WMB,2022-04-28,42420000000.0
WMB,2022-10-27,39600000000.0
WMB,2023-02-17,38090000000.0
WMB,2023-05-01,36980000000.0
WMB,2023-07-31,41910000000.0
WMB,2023-10-30,41640000000.0
WMB,2024-02-16,41750000000.0
WMB,2024-05-02,46970000000.0
WMB,2024-08-01,52550000000.0
WMB,2024-11-01,62850000000.0
