Company,Date,Market Cap
WYNN,2010-02-17,7940000000.0
WYNN,2010-04-30,10880000000.0
WYNN,2010-08-02,11020000000.0
WYNN,2010-11-01,13540000000.0
WYNN,2011-02-15,15980000000.0
WYNN,2011-04-30,18360000000.0
WYNN,2011-08-01,19270000000.0
WYNN,2011-11-01,16070000000.0
WYNN,2012-02-23,11700000000.0
WYNN,2012-04-23,12590000000.0
WYNN,2012-04-30,13410000000.0
WYNN,2012-07-31,9420000000.0
WYNN,2012-10-31,12180000000.0
WYNN,2013-02-15,12420000000.0
WYNN,2013-04-30,13870000000.0
WYNN,2013-07-31,13460000000.0
WYNN,2013-10-31,16820000000.0
WYNN,2014-02-14,22500000000.0
WYNN,2014-04-30,20650000000.0
WYNN,2014-07-31,21610000000.0
WYNN,2014-10-31,19260000000.0
WYNN,2015-02-13,16180000000.0
WYNN,2015-04-30,11280000000.0
WYNN,2015-07-31,10480000000.0
WYNN,2015-10-31,7100000000.0
WYNN,2016-02-12,7030000000.0
WYNN,2016-04-30,8990000000.0
WYNN,2016-07-31,9970000000.0
WYNN,2016-10-31,9620000000.0
WYNN,2017-02-15,10170000000.0
WYNN,2017-04-30,12590000000.0
WYNN,2017-07-31,13270000000.0
WYNN,2017-10-31,15160000000.0
WYNN,2018-02-15,16899999999.999998
WYNN,2018-04-30,20220000000.0
WYNN,2018-07-31,18120000000.0
WYNN,2018-10-31,10940000000.0
WYNN,2019-02-15,13400000000.0
WYNN,2019-04-30,15550000000.0
WYNN,2019-07-31,14000000000.0
WYNN,2019-10-31,13030000000.0
WYNN,2020-02-14,14210000000.0
WYNN,2020-04-27,8930000000.0
WYNN,2020-07-27,7620000000.0
WYNN,2020-10-26,7930000000.0
WYNN,2021-02-16,14040000000.0
WYNN,2021-04-30,14850000000.0
WYNN,2021-07-27,11610000000.0
WYNN,2021-10-26,10660000000.0
WYNN,2022-02-16,10920000000.0
WYNN,2022-05-03,8310000000.000001
WYNN,2022-08-02,7330000000.0
WYNN,2022-11-01,7690000000.0
WYNN,2023-05-02,12880000000.0
WYNN,2023-08-01,12440000000.0
WYNN,2023-10-31,9910000000.0
WYNN,2024-02-14,11790000000.0
WYNN,2024-05-01,10390000000.0
WYNN,2024-07-31,9190000000.0
WYNN,2024-10-29,10870000000.0
