Company,Date,Market Cap
XEL,2010-02-22,9640000000.0
XEL,2010-04-26,10030000000.0
XEL,2010-07-19,10030000000.0
XEL,2010-10-21,10930000000.0
XEL,2011-02-17,11480000000.0
XEL,2011-04-19,11550000000.0
XEL,2011-07-19,11620000000.0
XEL,2011-10-20,12330000000.0
XEL,2012-02-21,12870000000.0
XEL,2012-04-19,12810000000.0
XEL,2012-07-26,13980000000.0
XEL,2012-10-18,13790000000.0
XEL,2013-02-14,13620000000.0
XEL,2013-04-26,15520000000.0
XEL,2013-07-26,14800000000.0
XEL,2013-10-18,14230000000.0
XEL,2014-02-17,14770000000.0
XEL,2014-04-28,16059999999.999998
XEL,2014-07-25,15930000000.0
XEL,2014-10-24,16640000000.0
XEL,2015-02-16,17710000000.0
XEL,2015-04-27,17440000000.0
XEL,2015-07-27,16910000000.0
XEL,2015-10-26,18670000000.0
XEL,2016-02-15,19700000000.0
XEL,2016-05-04,20830000000.0
XEL,2016-08-01,22320000000.0
XEL,2016-10-24,20420000000.0
XEL,2017-02-20,21300000000.0
XEL,2017-04-24,22860000000.0
XEL,2017-07-24,23810000000.0
XEL,2017-10-23,25020000000.0
XEL,2018-01-02,24280000000.0
XEL,2018-02-19,22700000000.0
XEL,2018-04-23,23060000000.0
XEL,2018-07-23,23050000000.0
XEL,2018-10-19,25250000000.0
XEL,2019-02-14,27110000000.0
XEL,2019-04-18,28140000000.0
XEL,2019-07-25,31000000000.0
XEL,2019-07-31,19290000000.0
XEL,2019-10-17,33390000000.0
XEL,2020-02-13,36630000000.0
XEL,2020-04-30,33380000000.000004
XEL,2020-07-28,35920000000.0
XEL,2020-10-19,37670000000.0
XEL,2021-02-11,33100000000.0
XEL,2021-04-22,38280000000.0
XEL,2021-07-22,36200000000.0
XEL,2021-10-26,34730000000.0
XEL,2022-02-17,35970000000.0
XEL,2022-04-21,41010000000.0
XEL,2022-07-21,37030000000.0
XEL,2022-10-25,34150000000.0
XEL,2023-02-16,36980000000.0
XEL,2023-04-24,39090000000.0
XEL,2023-07-25,35830000000.0
XEL,2023-10-24,32600000000.0
XEL,2024-02-15,32759999999.999996
XEL,2024-04-22,30540000000.0
XEL,2024-07-30,32689999999.999996
XEL,2024-10-28,37030000000.0
