Company,Date,Market Cap
XOM,2010-01-31,304190000000.0
XOM,2010-03-31,314680000000.0
XOM,2010-06-30,290590000000.0
XOM,2010-09-30,311580000000.0
XOM,2011-01-31,400060000000.0
XOM,2011-03-31,414430000000.0
XOM,2011-06-30,395680000000.0
XOM,2011-09-30,348130000000.0
XOM,2012-01-31,394690000000.0
XOM,2012-03-31,405560000000.0
XOM,2012-06-30,394990000000.0
XOM,2012-09-30,416950000000.0
XOM,2013-01-31,403110000000.0
XOM,2013-03-31,400660000000.0
XOM,2013-06-30,397690000000.0
XOM,2013-09-30,375870000000.0
XOM,2014-01-31,398250000000.0
XOM,2014-03-31,419470000000.0
XOM,2014-06-30,429370000000.0
XOM,2014-09-30,398260000000.0
XOM,2015-01-31,366700000000.0
XOM,2015-03-31,355390000000.0
XOM,2015-06-30,346900000000.0
XOM,2015-09-30,309510000000.0
XOM,2016-01-31,323290000000.0
XOM,2016-03-31,346620000000.0
XOM,2016-06-30,388710000000.0
XOM,2016-09-30,361920000000.0
XOM,2017-01-31,347850000000.0
XOM,2017-03-31,347500000000.0
XOM,2017-06-30,342060000000.0
XOM,2017-09-30,347360000000.0
XOM,2018-01-31,369930000000.0
XOM,2018-03-31,315890000000.0
XOM,2018-06-30,350260000000.0
XOM,2018-09-30,359960000000.0
XOM,2019-01-31,310330000000.0
XOM,2019-03-31,341870000000.0
XOM,2019-06-30,324230000000.0
XOM,2019-07-25,1100000000.0
XOM,2019-09-30,298760000000.0
XOM,2020-01-31,262899999999.99997
XOM,2020-03-31,160550000000.0
XOM,2020-09-30,145160000000.0
XOM,2021-01-31,189830000000.0
XOM,2021-03-31,236360000000.0
XOM,2021-06-30,267050000000.0
XOM,2021-09-30,249020000000.0
XOM,2022-01-31,321580000000.0
XOM,2022-03-31,347910000000.0
XOM,2022-06-30,356920000000.0
XOM,2022-09-30,359570000000.0
XOM,2023-01-31,472270000000.0
XOM,2023-03-31,443350000000.0
XOM,2023-06-30,429340000000.0
XOM,2023-09-30,465960000000.0
XOM,2024-03-31,458340000000.0
XOM,2024-06-30,511460000000.0
XOM,2024-09-30,515190000000.00006
