Company,Date,Market Cap
XYL,2013-01-31,5200000000.0
XYL,2013-04-26,5130000000.0
XYL,2013-07-26,5310000000.0
XYL,2013-10-25,5350000000.0
XYL,2014-01-31,6160000000.0
XYL,2014-04-25,6510000000.0
XYL,2014-07-25,6730000000.0
XYL,2014-10-24,6430000000.0
XYL,2015-01-31,6220000000.0
XYL,2015-04-24,6460000000.0
XYL,2015-07-24,6290000000.0
XYL,2015-10-23,6490000000.0
XYL,2016-01-29,6420000000.0
XYL,2016-04-29,7470000000.0
XYL,2016-07-29,8570000000.0
XYL,2016-10-28,8720000000.0
XYL,2017-02-17,8580000000.0
XYL,2017-04-28,9240000000.0
XYL,2017-07-28,10220000000.0
XYL,2017-10-27,11650000000.0
XYL,2018-02-16,13530000000.0
XYL,2018-04-27,13260000000.0
XYL,2018-07-27,12610000000.0
XYL,2018-10-26,11950000000.0
XYL,2019-02-15,13270000000.0
XYL,2019-04-26,14950000000.0
XYL,2019-07-26,14670000000.0
XYL,2019-07-31,7110000000.0
XYL,2019-10-25,15000000000.0
XYL,2020-02-21,15950000000.0
XYL,2020-05-01,12470000000.0
XYL,2020-07-24,13360000000.0
XYL,2020-10-23,16510000000.000002
XYL,2021-02-19,17990000000.0
XYL,2021-04-30,19920000000.0
XYL,2021-07-30,22670000000.0
XYL,2021-10-29,23550000000.0
XYL,2022-02-08,16440000000.000002
XYL,2022-04-29,14500000000.0
XYL,2022-07-29,16579999999.999998
XYL,2022-10-28,18480000000.0
XYL,2023-02-17,19340000000.0
XYL,2023-04-28,18760000000.0
XYL,2023-07-28,27120000000.0
XYL,2023-10-27,21260000000.0
XYL,2024-02-23,30370000000.0
XYL,2024-04-26,32100000000.0
XYL,2024-07-26,34210000000.0
XYL,2024-10-25,31680000000.0
