Company,Date,Market Cap
ZBRA,2010-02-12,1700000000.0
ZBRA,2010-04-30,1680000000.0
ZBRA,2010-07-30,1560000000.0
ZBRA,2010-10-29,2020000000.0
ZBRA,2011-02-11,2300000000.0
ZBRA,2011-04-29,2150000000.0
ZBRA,2011-10-28,1900000000.0
ZBRA,2012-02-10,2040000000.0
ZBRA,2012-03-31,2140000000.0000002
ZBRA,2012-04-20,1970000000.0
ZBRA,2012-07-20,1820000000.0
ZBRA,2012-10-26,1800000000.0
ZBRA,2013-02-08,2250000000.0
ZBRA,2013-04-26,2330000000.0
ZBRA,2013-07-26,2340000000.0
ZBRA,2013-10-25,2380000000.0
ZBRA,2014-02-07,2750000000.0
ZBRA,2014-04-25,3420000000.0
ZBRA,2014-07-25,4139999999.9999995
ZBRA,2014-10-24,3530000000.0
ZBRA,2015-02-13,4680000000.0
ZBRA,2015-05-01,4780000000.0
ZBRA,2015-07-31,5600000000.0
ZBRA,2015-10-30,4010000000.0
ZBRA,2016-02-22,3560000000.0
ZBRA,2016-05-03,3320000000.0
ZBRA,2016-08-03,2950000000.0
ZBRA,2016-11-08,3420000000.0
ZBRA,2017-02-20,4550000000.0
ZBRA,2017-05-02,4950000000.0
ZBRA,2017-08-01,5370000000.0
ZBRA,2017-10-31,6170000000.0
ZBRA,2018-02-15,6420000000.0
ZBRA,2018-05-01,7300000000.0
ZBRA,2018-07-31,7410000000.0
ZBRA,2018-10-30,8790000000.0
ZBRA,2019-02-07,9520000000.0
ZBRA,2019-04-23,12600000000.0
ZBRA,2019-07-23,10010000000.0
ZBRA,2011-03-30,493750000.0
ZBRA,2019-10-22,10960000000.0
ZBRA,2020-02-04,13390000000.0
ZBRA,2020-04-21,10240000000.0
ZBRA,2020-07-21,14580000000.0
ZBRA,2020-10-27,15420000000.0
ZBRA,2021-02-04,21780000000.0
ZBRA,2021-04-27,26850000000.0
ZBRA,2021-07-27,28850000000.0
ZBRA,2021-10-26,28080000000.0
ZBRA,2022-02-03,26980000000.0
ZBRA,2022-04-29,19410000000.0
ZBRA,2022-07-29,18520000000.0
ZBRA,2022-10-28,14870000000.0
ZBRA,2023-02-09,16270000000.0
ZBRA,2023-07-25,15470000000.0
ZBRA,2023-10-24,10580000000.0
ZBRA,2024-02-08,12700000000.0
ZBRA,2024-04-23,14220000000.0
ZBRA,2024-10-22,19190000000.0
