Company,Date,Market Cap
ABUS,2010-11-15,72780000.0
ABUS,2010-12-31,48590000.0
ABUS,2011-02-28,51190000.0
ABUS,2011-10-31,20650000.0
ABUS,2011-12-31,18220000.0
ABUS,2012-05-31,30100000.0
ABUS,2012-12-31,70950000.0
ABUS,2013-01-03,70800000.0
ABUS,2013-09-30,101150000.0
ABUS,2014-02-28,406580000.0
ABUS,2014-03-21,568620000.0
ABUS,2014-05-08,256310000.0
ABUS,2014-08-12,411390000.0
ABUS,2014-10-30,378000000.0
ABUS,2015-03-09,831230000.0
ABUS,2015-04-30,838850000.0
ABUS,2015-07-31,588380000.0
ABUS,2015-10-31,300130000.0
ABUS,2016-02-29,172620000.0
ABUS,2016-04-30,270400000.0
ABUS,2016-07-31,224120000.0
ABUS,2016-10-31,172750000.0
ABUS,2017-03-14,151310000.0
ABUS,2017-04-30,187080000.0
ABUS,2017-07-31,189840000.0
ABUS,2017-10-31,311040000.0
ABUS,2018-03-06,415480000.0
ABUS,2018-04-30,449370000.0
ABUS,2018-07-31,614990000.0
ABUS,2018-10-31,235220000.0
ABUS,2019-03-05,239640000.0
ABUS,2019-04-30,152930000.0
ABUS,2019-07-31,101190000.0
ABUS,2019-10-31,80730000.0
ABUS,2020-03-02,196480000.0
ABUS,2020-08-05,338200000.0
ABUS,2020-11-05,243690000.0
ABUS,2021-03-03,347930000.0
ABUS,2021-05-03,331570000.0
ABUS,2021-08-03,272690000.0
ABUS,2021-11-02,531610000.0
ABUS,2022-03-03,438490000.0
ABUS,2022-05-03,359920000.0
ABUS,2022-08-02,344890000.0
ABUS,2022-11-08,384910000.0
ABUS,2023-02-28,451950000.0
ABUS,2023-05-02,412010000.0
ABUS,2023-08-01,365270000.0
ABUS,2024-03-01,500780000.0
ABUS,2024-04-30,515200000.00000006
ABUS,2024-08-07,662620000.0
ABUS,2024-11-05,750390000.0
