Company,Date,Market Cap
ACAD,2010-03-01,50980000.0
ACAD,2010-04-30,63640000.0
ACAD,2010-07-31,46810000.0
ACAD,2010-10-29,29870000.0
ACAD,2011-03-01,74250000.0
ACAD,2011-04-30,144950000.0
ACAD,2011-07-31,86060000.0
ACAD,2011-10-31,64950000.0
ACAD,2012-03-01,87290000.0
ACAD,2012-04-30,79390000.0
ACAD,2012-07-31,85380000.0
ACAD,2012-10-31,133060000.0
ACAD,2013-03-01,500900000.0
ACAD,2013-04-29,1040000000.0
ACAD,2013-07-31,1750000000.0
ACAD,2013-10-31,2069999999.9999998
ACAD,2014-01-31,2130000000.0
ACAD,2014-04-30,1990000000.0
ACAD,2014-07-31,2020000000.0
ACAD,2014-10-31,2760000000.0
ACAD,2015-01-30,3050000000.0
ACAD,2015-04-30,3430000000.0
ACAD,2015-07-31,4920000000.0
ACAD,2015-10-30,3510000000.0
ACAD,2016-01-29,2330000000.0
ACAD,2016-04-28,3670000000.0
ACAD,2016-07-29,4219999999.9999995
ACAD,2016-10-31,2820000000.0
ACAD,2017-01-31,4200000000.0
ACAD,2017-05-03,3960000000.0
ACAD,2017-07-31,3640000000.0
ACAD,2017-10-31,4330000000.0
ACAD,2018-01-31,3730000000.0
ACAD,2018-04-30,1970000000.0
ACAD,2018-07-31,1890000000.0
ACAD,2018-10-31,2440000000.0
ACAD,2019-01-31,3280000000.0
ACAD,2019-04-24,3470000000.0
ACAD,2019-07-24,3320000000.0
ACAD,2019-10-23,6440000000.0
ACAD,2020-01-31,6200000000.0
ACAD,2020-04-22,7690000000.0
ACAD,2020-07-22,6770000000.0
ACAD,2020-10-22,6710000000.0
ACAD,2021-02-10,8260000000.0
ACAD,2021-04-27,3370000000.0
ACAD,2021-07-28,3560000000.0
ACAD,2021-10-25,2790000000.0
ACAD,2022-02-15,4400000000.0
ACAD,2022-04-28,3060000000.0
ACAD,2022-07-28,2360000000.0
ACAD,2022-10-21,2570000000.0
ACAD,2023-02-21,3020000000.0
ACAD,2023-04-26,3300000000.0
ACAD,2023-07-26,4770000000.0
ACAD,2023-10-25,3710000000.0
ACAD,2024-02-21,4099999999.9999995
ACAD,2024-04-30,2760000000.0
ACAD,2024-07-31,3150000000.0
ACAD,2024-10-29,2450000000.0
