Company,Date,Market Cap
ALLO,2018-10-11,2840000000.0
ALLO,2018-11-15,3270000000.0
ALLO,2019-03-04,3880000000.0
ALLO,2019-05-03,3670000000.0
ALLO,2019-08-02,3600000000.0
ALLO,2019-06-30,3920000000.0
ALLO,2019-11-01,3530000000.0
ALLO,2020-02-24,3120000000.0
ALLO,2020-05-04,3970000000.0
ALLO,2020-08-03,5230000000.0
ALLO,2020-11-02,4660000000.0
ALLO,2021-02-22,4820000000.0
ALLO,2021-05-03,4340000000.0
ALLO,2021-08-02,3210000000.0
ALLO,2021-11-02,2790000000.0
ALLO,2022-02-21,1330000000.0
ALLO,2022-05-02,1310000000.0
ALLO,2022-08-05,2220000000.0
ALLO,2022-10-31,1490000000.0
ALLO,2023-05-01,806500000.0
ALLO,2023-07-31,831430000.0
ALLO,2023-10-31,474540000.0
ALLO,2024-05-09,488640000.0
ALLO,2024-08-02,537420000.0
ALLO,2024-11-01,570310000.0
