Company,Date,Market Cap
ARWR,2011-11-17,43320000.0
ARWR,2011-12-15,48630000.0
ARWR,2012-02-01,53180000.0
ARWR,2012-05-01,62460000.0
ARWR,2012-08-03,41850000.0
ARWR,2012-12-21,32229999.999999996
ARWR,2013-02-08,32720000.0
ARWR,2013-05-07,67180000.0
ARWR,2013-08-05,132780000.0
ARWR,2013-12-16,338240000.0
ARWR,2014-01-31,608800000.0
ARWR,2014-05-01,585120000.0
ARWR,2014-08-11,679880000.0
ARWR,2014-11-24,337120000.0
ARWR,2015-02-05,366010000.0
ARWR,2015-05-08,418870000.0
ARWR,2015-07-31,367720000.0
ARWR,2015-12-11,335890000.0
ARWR,2016-02-05,206310000.0
ARWR,2016-05-09,345370000.0
ARWR,2016-08-08,358430000.0
ARWR,2016-12-12,94940000.0
ARWR,2017-02-03,141680000.0
ARWR,2017-05-02,116640000.0
ARWR,2017-08-01,128610000.00000001
ARWR,2017-12-06,258910000.00000003
ARWR,2018-02-07,508580000.0
ARWR,2018-05-07,680470000.0
ARWR,2018-08-06,1250000000.0
ARWR,2018-12-07,1210000000.0
ARWR,2019-02-06,1300000000.0
ARWR,2019-05-06,1760000000.0
ARWR,2019-08-02,2780000000.0
ARWR,2019-11-20,4630000000.0
ARWR,2020-02-03,4400000000.0
ARWR,2020-05-05,3600000000.0
ARWR,2020-07-27,4940000000.0
ARWR,2020-11-16,7100000000.0
ARWR,2021-02-01,8279999999.999999
ARWR,2021-04-30,7570000000.0
ARWR,2021-08-02,7090000000.0
ARWR,2021-11-15,6890000000.0
ARWR,2022-01-31,5560000000.0
ARWR,2022-05-05,4250000000.0
ARWR,2022-07-28,4630000000.0
ARWR,2022-11-16,3360000000.0
ARWR,2023-02-01,3820000000.0
ARWR,2023-07-31,3700000000.0
ARWR,2023-11-20,3100000000.0
ARWR,2024-01-31,3980000000.0
ARWR,2024-05-01,2880000000.0
ARWR,2024-08-01,3410000000.0
ARWR,2024-11-20,2330000000.0
