Company,Date,Market Cap
BCRX,2010-03-01,293630000.0
BCRX,2010-04-23,324140000.0
BCRX,2010-07-30,268149999.99999997
BCRX,2010-10-27,224170000.0
BCRX,2011-03-07,180630000.0
BCRX,2011-04-22,161000000.0
BCRX,2011-08-01,150800000.0
BCRX,2011-11-01,133380000.0
BCRX,2012-01-31,160670000.0
BCRX,2012-04-30,178000000.0
BCRX,2012-07-31,224190000.0
BCRX,2012-10-31,148060000.0
BCRX,2013-01-31,82500000.0
BCRX,2013-04-30,106830000.0
BCRX,2013-07-31,238640000.0
BCRX,2013-10-31,340370000.0
BCRX,2014-01-31,605720000.0
BCRX,2014-04-30,515960000.00000006
BCRX,2014-07-31,898390000.0
BCRX,2014-10-31,842240000.0
BCRX,2015-01-31,736220000.0
BCRX,2015-04-30,673720000.0
BCRX,2015-07-31,1130000000.0
BCRX,2015-10-31,659300000.0
BCRX,2016-01-31,513200000.00000006
BCRX,2016-04-30,240240000.0
BCRX,2016-07-31,266800000.0
BCRX,2016-10-31,298720000.0
BCRX,2017-01-31,465920000.0
BCRX,2017-04-30,509870000.0
BCRX,2017-07-31,410990000.0
BCRX,2017-10-31,442820000.0
BCRX,2018-01-31,443730000.0
BCRX,2018-04-30,485690000.0
BCRX,2018-07-31,583670000.0
BCRX,2018-10-31,802570000.0
BCRX,2019-01-31,956330000.0
BCRX,2019-04-30,819630000.0
BCRX,2019-07-31,350090000.0
BCRX,2019-10-31,220880000.0
BCRX,2020-01-31,439450000.0
BCRX,2020-04-30,603130000.0
BCRX,2020-07-31,718620000.0
BCRX,2020-10-31,674480000.0
BCRX,2021-01-31,1510000000.0
BCRX,2021-04-30,2069999999.9999998
BCRX,2021-07-30,2880000000.0
BCRX,2021-10-29,2690000000.0
BCRX,2022-01-31,2850000000.0
BCRX,2022-04-29,1720000000.0
BCRX,2022-07-29,2049999999.9999998
BCRX,2022-10-31,2490000000.0
BCRX,2023-01-31,1990000000.0
BCRX,2023-04-28,1440000000.0
BCRX,2023-07-28,1460000000.0
BCRX,2023-10-31,1120000000.0
BCRX,2024-02-23,1180000000.0
BCRX,2024-04-30,852340000.0
BCRX,2024-07-31,1510000000.0
BCRX,2024-10-31,1660000000.0
