Company,Date,Market Cap
BEAM,2020-02-06,849840000.0
BEAM,2020-03-25,1010000000.0
BEAM,2020-05-08,869580000.0
BEAM,2020-08-04,1000000000.0
BEAM,2020-11-06,2089999999.9999998
BEAM,2021-03-08,4450000000.0
BEAM,2021-05-04,4550000000.0
BEAM,2021-08-03,6120000000.0
BEAM,2021-11-01,6440000000.0
BEAM,2022-02-22,4480000000.0
BEAM,2022-05-02,2870000000.0
BEAM,2022-08-02,4160000000.0
BEAM,2022-10-31,3100000000.0
BEAM,2023-02-22,2960000000.0
BEAM,2023-05-03,2410000000.0
BEAM,2023-08-01,2260000000.0
BEAM,2023-11-01,1710000000.0
BEAM,2024-02-20,2600000000.0
BEAM,2024-04-30,1750000000.0
BEAM,2024-07-31,2610000000.0
BEAM,2024-10-29,1840000000.0
