Company,Date,Market Cap
CYTK,2013-06-25,298470000.0
CYTK,2013-07-26,388630000.0
CYTK,2013-10-25,195020000.0
CYTK,2014-02-28,355370000.0
CYTK,2014-05-02,163280000.0
CYTK,2014-07-31,154860000.0
CYTK,2014-10-31,134350000.0
CYTK,2015-02-27,298180000.0
CYTK,2015-04-28,265209999.99999997
CYTK,2015-07-30,235990000.0
CYTK,2015-10-30,334470000.0
CYTK,2016-02-26,271210000.0
CYTK,2016-04-28,327270000.0
CYTK,2016-07-28,395050000.0
CYTK,2016-10-27,357760000.0
CYTK,2017-02-23,423550000.0
CYTK,2017-04-27,766420000.0
CYTK,2017-07-27,745970000.0
CYTK,2017-10-27,767860000.0
CYTK,2018-02-23,426660000.0
CYTK,2018-04-30,449840000.0
CYTK,2018-07-29,406980000.0
CYTK,2018-11-05,374220000.0
CYTK,2019-03-05,356770000.0
CYTK,2019-04-30,509100000.0
CYTK,2019-08-01,733490000.0
CYTK,2019-10-30,699530000.0
CYTK,2020-03-02,846570000.0
CYTK,2020-05-04,902150000.0
CYTK,2020-08-03,1600000000.0
CYTK,2020-11-02,1130000000.0
CYTK,2021-02-23,1440000000.0
CYTK,2021-05-04,1740000000.0
CYTK,2021-08-02,2400000000.0
CYTK,2021-11-01,2880000000.0
CYTK,2022-02-22,2860000000.0
CYTK,2022-05-04,3510000000.0
CYTK,2022-08-02,3990000000.0
CYTK,2022-11-02,3960000000.0
CYTK,2023-02-27,4090000000.0
CYTK,2023-05-02,3570000000.0
CYTK,2023-08-01,3120000000.0
CYTK,2023-11-01,3440000000.0
CYTK,2024-02-27,8340000000.0
CYTK,2024-05-08,6840000000.0
CYTK,2024-08-07,6030000000.0
CYTK,2024-11-05,6200000000.0
