Company,Date,Market Cap
ETNB,2019-12-12,411460000.0
ETNB,2020-03-10,477100000.0
ETNB,2020-05-04,342780000.0
ETNB,2020-08-06,505780000.0
ETNB,2020-11-06,490610000.0
ETNB,2021-03-01,492680000.0
ETNB,2021-05-07,484860000.0
ETNB,2021-08-06,364390000.0
ETNB,2021-11-08,363250000.0
ETNB,2022-03-01,90160000.0
ETNB,2022-05-02,44160000.0
ETNB,2022-11-07,397890000.0
ETNB,2023-03-03,740110000.0
ETNB,2023-05-02,1150000000.0
ETNB,2023-07-31,1200000000.0
ETNB,2023-10-26,519640000.0
ETNB,2024-02-21,978020000.0
ETNB,2024-05-06,943500000.0
ETNB,2024-07-29,974370000.0
ETNB,2024-10-31,825660000.0
