Company,Date,Market Cap
EXEL,2010-03-05,751600000.0
EXEL,2010-05-05,614540000.0
EXEL,2010-07-30,339010000.0
EXEL,2010-10-29,487160000.0
EXEL,2011-02-15,1100000000.0
EXEL,2011-04-28,1580000000.0
EXEL,2011-07-29,993100000.0
EXEL,2011-10-21,776820000.0
EXEL,2012-02-15,860840000.0
EXEL,2012-04-27,712690000.0
EXEL,2012-07-27,952860000.0
EXEL,2012-11-02,862910000.0
EXEL,2013-02-14,865310000.0
EXEL,2013-04-30,953930000.0
EXEL,2013-07-29,885600000.0
EXEL,2013-10-25,985490000.0
EXEL,2014-02-19,1400000000.0
EXEL,2014-04-24,663910000.0
EXEL,2014-07-24,821410000.0
EXEL,2014-10-29,331870000.0
EXEL,2015-02-26,573970000.0
EXEL,2015-04-23,607680000.0
EXEL,2015-08-03,1380000000.0
EXEL,2015-10-29,1340000000.0
EXEL,2016-02-19,933300000.0
EXEL,2016-04-28,1040000000.0
EXEL,2016-07-28,2060000000.0
EXEL,2016-10-26,3200000000.0
EXEL,2017-02-16,6590000000.0
EXEL,2017-04-24,6230000000.0
EXEL,2017-07-26,8240000000.0
EXEL,2017-10-24,7820000000.0
EXEL,2018-02-12,8610000000.0
EXEL,2018-04-23,6160000000.0
EXEL,2018-07-24,6220000000.0
EXEL,2018-10-22,4620000000.0
EXEL,2019-02-12,6510000000.0
EXEL,2019-04-22,6220000000.0
EXEL,2019-07-22,6510000000.0
EXEL,2019-10-21,5110000000.0
EXEL,2020-02-18,6480000000.0
EXEL,2020-04-27,8390000000.000001
EXEL,2020-07-27,7650000000.0
EXEL,2020-10-26,6790000000.0
EXEL,2021-02-01,6930000000.0
EXEL,2021-04-26,7790000000.0
EXEL,2021-07-26,5200000000.0
EXEL,2021-10-25,6840000000.0
EXEL,2022-02-07,6100000000.0
EXEL,2022-05-02,7270000000.0
EXEL,2022-08-01,6750000000.0
EXEL,2022-10-24,5260000000.0
EXEL,2023-01-30,5640000000.0
EXEL,2023-05-01,6130000000.0
EXEL,2023-07-24,6330000000.0
EXEL,2023-10-23,5990000000.0
EXEL,2024-01-29,6640000000.0
EXEL,2024-04-22,6660000000.0
EXEL,2024-07-29,6590000000.0
EXEL,2024-10-21,8180000000.0
