Company,Date,Market Cap
GERN,2010-02-23,557450000.0
GERN,2010-04-26,570430000.0
GERN,2010-07-26,520850000.0
GERN,2010-10-25,606290000.0
GERN,2011-02-22,628450000.0
GERN,2011-04-25,642380000.0
GERN,2011-07-25,540160000.0
GERN,2011-10-24,306330000.0
GERN,2012-02-22,259680000.0
GERN,2012-04-30,221900000.0
GERN,2012-07-30,231010000.0
GERN,2012-10-29,169980000.0
GERN,2013-03-01,188030000.0
GERN,2013-04-29,152600000.0
GERN,2013-08-01,171100000.0
GERN,2013-11-01,508130000.0
GERN,2014-03-06,717030000.0
GERN,2014-04-25,298180000.0
GERN,2014-08-04,387500000.0
GERN,2014-10-31,350580000.0
GERN,2015-03-06,551950000.0
GERN,2015-04-30,572280000.0
GERN,2015-07-31,640480000.0
GERN,2015-10-30,549030000.0
GERN,2016-03-03,448150000.0
GERN,2016-04-29,468930000.0
GERN,2016-07-29,426490000.0
GERN,2016-10-28,311920000.0
GERN,2017-02-21,350150000.0
GERN,2017-05-01,410670000.0
GERN,2017-08-02,343900000.0
GERN,2017-10-25,328020000.0
GERN,2018-03-07,430550000.0
GERN,2018-05-03,640400000.0
GERN,2018-07-24,615130000.0
GERN,2018-10-25,290700000.0
GERN,2019-03-01,285180000.0
GERN,2019-04-29,350650000.0
GERN,2019-07-26,227990000.0
GERN,2019-07-30,292570000.0
GERN,2019-11-01,293670000.0
GERN,2020-03-02,232400000.0
GERN,2020-07-31,493640000.0
GERN,2020-11-02,543330000.0
GERN,2021-03-01,592460000.0
GERN,2021-05-04,436440000.0
GERN,2021-08-11,400750000.0
GERN,2021-11-04,534440000.00000006
GERN,2022-03-01,346390000.0
GERN,2022-05-03,547300000.0
GERN,2022-09-30,892090000.0
GERN,2023-03-09,1360000000.0
GERN,2023-05-05,1400000000.0
GERN,2023-07-27,1580000000.0
GERN,2023-10-31,1030000000.0
GERN,2024-02-23,1070000000.0000001
GERN,2024-04-26,2250000000.0
GERN,2024-08-05,2720000000.0
GERN,2024-11-04,2570000000.0
