Company,Date,Market Cap
HALO,2010-03-01,608050000.0
HALO,2010-05-03,828850000.0
HALO,2010-08-02,685580000.0
HALO,2010-11-02,742210000.0
HALO,2011-03-01,690460000.0
HALO,2011-05-02,668230000.0
HALO,2011-08-01,720160000.0
HALO,2011-11-02,861680000.0
HALO,2012-03-01,1280000000.0
HALO,2012-04-30,908540000.0
HALO,2012-08-02,484580000.0
HALO,2012-10-31,596210000.0
HALO,2013-02-25,647060000.0
HALO,2013-05-06,694810000.0
HALO,2013-05-16,902720000.0
HALO,2013-08-05,820190000.0
HALO,2013-11-04,1360000000.0
HALO,2014-02-24,1990000000.0
HALO,2014-05-05,912650000.0
HALO,2014-08-05,1160000000.0
HALO,2014-11-05,1130000000.0
HALO,2015-02-24,1900000000.0
HALO,2015-05-06,1930000000.0
HALO,2015-08-06,286470000.0
HALO,2015-11-02,2140000000.0000002
HALO,2016-02-22,1060000000.0
HALO,2016-05-02,1400000000.0
HALO,2016-08-02,1300000000.0
HALO,2016-11-01,1100000000.0
HALO,2017-02-22,1570000000.0
HALO,2017-05-01,1840000000.0
HALO,2017-08-01,1770000000.0
HALO,2017-11-01,2410000000.0
HALO,2018-02-13,2550000000.0
HALO,2018-05-03,2790000000.0
HALO,2018-07-31,2610000000.0
HALO,2018-10-30,2230000000.0
HALO,2019-02-14,2400000000.0
HALO,2019-04-30,2350000000.0
HALO,2019-07-31,2490000000.0
HALO,2019-11-07,2450000000.0
HALO,2020-02-14,2920000000.0
HALO,2020-08-05,3980000000.0
HALO,2020-10-28,3910000000.0
HALO,2021-02-17,6660000000.0
HALO,2021-05-05,6810000000.0
HALO,2021-08-03,5740000000.0
HALO,2021-10-25,5410000000.0
HALO,2022-02-14,4630000000.0
HALO,2022-05-04,5710000000.0
HALO,2022-08-02,6600000000.0
HALO,2022-10-31,6460000000.0
HALO,2023-02-14,6610000000.0
HALO,2023-04-28,4230000000.0000005
HALO,2023-07-31,5670000000.0
HALO,2023-10-31,4470000000.0
HALO,2024-02-12,4530000000.0
HALO,2024-04-30,4850000000.0
HALO,2024-07-31,7000000000.0
HALO,2024-10-24,6270000.0
