Company,Date,Market Cap
IMVT,2019-11-13,146190000.0
IMVT,2020-02-14,871670000.0
IMVT,2020-06-29,2080000000.0
IMVT,2020-08-12,2200000000.0
IMVT,2020-11-12,4810000000.0
IMVT,2021-02-16,1580000000.0
IMVT,2021-06-01,920980000.0
IMVT,2021-08-09,894690000.0
IMVT,2021-11-01,961400000.0
IMVT,2022-02-01,813610000.0
IMVT,2022-06-03,527770000.0
IMVT,2022-07-29,480300000.0
IMVT,2022-10-28,1430000000.0
IMVT,2023-01-27,2310000000.0
IMVT,2023-05-17,2750000000.0
IMVT,2023-08-04,2860000000.0
IMVT,2023-11-03,4920000000.0
IMVT,2024-02-05,5320000000.0
IMVT,2024-05-22,4320000000.0
IMVT,2024-07-30,4219999999.9999995
IMVT,2024-11-01,4310000000.0
