Company,Date,Market Cap
IONS,2010-02-22,894550000.0
IONS,2010-05-03,1080000000.0
IONS,2010-08-02,990780000.0
IONS,2010-11-01,894070000.0
IONS,2011-02-22,897200000.0
IONS,2011-05-02,910290000.0
IONS,2011-08-01,854090000.0
IONS,2011-11-01,770910000.0
IONS,2012-02-21,836360000.0
IONS,2012-05-03,803470000.0
IONS,2012-08-01,1190000000.0
IONS,2012-11-01,902800000.0
IONS,2013-02-21,1440000000.0
IONS,2013-05-02,2320000000.0
IONS,2013-08-01,3380000000.0
IONS,2013-11-01,3840000000.0
IONS,2014-02-21,6920000000.0
IONS,2014-05-02,3040000000.0
IONS,2014-08-01,3580000000.0
IONS,2014-11-05,5210000000.0
IONS,2015-02-23,7870000000.0
IONS,2015-04-30,6790000000.0
IONS,2015-07-30,6380000000.0
IONS,2015-11-04,6370000000.0
IONS,2016-02-19,4460000000.0
IONS,2016-04-29,4950000000.0
IONS,2016-08-02,4560000000.0
IONS,2016-11-02,3270000000.0
IONS,2017-02-21,5720000000.0
IONS,2017-05-02,5880000000.0
IONS,2017-08-02,6310000000.0
IONS,2017-11-01,7210000000.0
IONS,2018-02-20,6270000000.0
IONS,2018-04-30,5400000000.0
IONS,2018-07-31,6000000000.0
IONS,2018-10-31,6820000000.0
IONS,2019-02-20,8080000000.0
IONS,2019-05-02,10130000000.0
IONS,2019-08-01,9280000000.0
IONS,2019-07-31,3940000000.0
IONS,2019-10-31,7840000000.0
IONS,2020-02-20,8529999999.999999
IONS,2020-04-29,7920000000.0
IONS,2020-07-29,8210000000.000001
IONS,2020-10-29,6550000000.0
IONS,2021-02-18,8100000000.0
IONS,2021-04-29,6110000000.0
IONS,2021-07-28,5330000000.0
IONS,2021-10-27,4210000000.0
IONS,2022-02-16,4730000000.0
IONS,2022-04-28,5610000000.0
IONS,2022-08-03,5820000000.0
IONS,2022-11-03,6320000000.0
IONS,2023-02-16,5450000000.0
IONS,2023-04-27,5040000000.0
IONS,2023-08-03,5650000000.0
IONS,2023-10-27,6320000000.0
IONS,2024-02-15,6600000000.0
IONS,2024-05-01,6280000000.0
IONS,2024-07-26,7520000000.0
IONS,2024-10-31,6060000000.0
