Company,Date,Market Cap
IOVA,2013-09-26,60380000.0
IOVA,2013-10-22,85430000.0
IOVA,2013-11-14,82190000.0
IOVA,2014-03-27,175370000.0
IOVA,2014-05-15,178380000.0
IOVA,2014-08-08,185410000.0
IOVA,2014-11-13,164460000.0
IOVA,2015-02-26,308710000.0
IOVA,2015-03-16,583210000.0
IOVA,2015-05-08,505230000.0
IOVA,2015-08-07,349220000.0
IOVA,2015-10-31,309490000.0
IOVA,2016-02-29,271010000.0
IOVA,2016-04-30,275290000.0
IOVA,2016-07-28,503720000.0
IOVA,2016-11-01,375630000.0
IOVA,2017-03-02,501600000.0
IOVA,2017-05-01,430220000.0
IOVA,2017-08-01,357310000.0
IOVA,2017-10-31,565080000.0
IOVA,2018-02-28,1550000000.0
IOVA,2018-04-30,1300000000.0
IOVA,2018-07-31,1360000000.0
IOVA,2018-10-31,1120000000.0
IOVA,2019-02-13,1210000000.0
IOVA,2019-04-30,1410000000.0
IOVA,2019-07-25,3010000000.0
IOVA,2019-10-31,2670000000.0
IOVA,2020-02-17,3010000000.0
IOVA,2020-04-28,4290000000.0
IOVA,2020-07-28,4219999999.9999995
IOVA,2020-10-26,5420000000.0
IOVA,2021-02-17,6980000000.0
IOVA,2021-04-26,5050000000.0
IOVA,2021-07-28,3550000000.0
IOVA,2021-10-26,4110000000.0000005
IOVA,2022-02-17,2570000000.0
IOVA,2022-04-25,2650000000.0
IOVA,2022-07-25,1890000000.0
IOVA,2022-10-26,1530000000.0
IOVA,2023-01-21,1410000000.0
IOVA,2023-05-02,1380000000.0
IOVA,2023-08-03,1790000000.0
IOVA,2024-02-22,4450000000.0
IOVA,2024-05-02,3600000000.0
IOVA,2024-08-02,2360000000.0
IOVA,2024-11-01,3410000000.0
