Company,Date,Market Cap
KROS,2020-04-08,365240000.0
KROS,2020-05-15,576250000.0
KROS,2020-08-07,732260000.0
KROS,2020-11-03,1070000000.0000001
KROS,2021-03-19,1380000000.0
KROS,2021-04-29,1630000000.0
KROS,2021-07-27,854170000.0
KROS,2021-10-28,987890000.0
KROS,2022-03-02,1250000000.0
KROS,2022-04-29,1270000000.0
KROS,2022-07-29,826280000.0
KROS,2022-10-27,1320000000.0
KROS,2023-02-23,1540000000.0
KROS,2023-04-27,1300000000.0
KROS,2023-07-28,1240000000.0
KROS,2023-10-31,855040000.0
KROS,2024-05-01,2080000000.0
KROS,2024-07-31,1880000000.0
KROS,2024-10-31,2350000000.0
