Company,Date,Market Cap
KRYS,2017-09-20,92390000.0
KRYS,2017-10-31,101350000.0
KRYS,2018-02-28,103900000.0
KRYS,2018-04-30,99080000.0
KRYS,2018-07-31,170320000.0
KRYS,2018-10-31,297380000.0
KRYS,2019-02-28,322680000.0
KRYS,2019-04-30,473030000.0
KRYS,2019-07-31,830590000.0
KRYS,2019-10-31,710860000.0
KRYS,2020-02-28,927780000.0
KRYS,2020-04-30,820440000.0
KRYS,2020-07-31,811930000.0
KRYS,2020-10-30,847230000.0
KRYS,2021-02-19,1710000000.0
KRYS,2021-04-30,1760000000.0
KRYS,2021-07-30,1300000000.0
KRYS,2021-10-29,1110000000.0
KRYS,2022-02-18,1530000000.0
KRYS,2022-04-29,1550000000.0
KRYS,2022-07-29,1860000000.0
KRYS,2022-10-31,1970000000.0
KRYS,2023-02-20,2020000000.0
KRYS,2023-05-01,2220000000.0
KRYS,2023-07-31,3610000000.0
KRYS,2023-10-30,3280000000.0
KRYS,2024-02-19,3210000000.0
KRYS,2024-04-29,4510000000.0
KRYS,2024-07-29,5900000000.0
KRYS,2024-10-28,5090000000.0
