Company,Date,Market Cap
KYMR,2020-08-21,1390000000.0
KYMR,2020-10-30,1600000000.0
KYMR,2021-02-26,2150000000.0
KYMR,2021-04-30,2049999999.9999998
KYMR,2021-07-30,3070000000.0
KYMR,2021-10-29,3030000000.0
KYMR,2022-02-18,2009999999.9999998
KYMR,2022-04-29,1620000000.0
KYMR,2022-08-05,1620000000.0
KYMR,2022-10-28,1650000000.0
KYMR,2023-02-17,1860000000.0
KYMR,2023-04-28,1740000000.0
KYMR,2023-07-28,1210000000.0
KYMR,2023-10-27,608700000.0
KYMR,2024-02-16,2360000000.0
KYMR,2024-04-26,2049999999.9999998
KYMR,2024-08-02,2600000000.0
KYMR,2024-10-25,3110000000.0
