Company,Date,Market Cap
MDXG,2010-03-15,82130000.0
MDXG,2010-05-13,74120000.0
MDXG,2010-07-27,64810000.0
MDXG,2010-11-15,64459999.99999999
MDXG,2011-03-15,87580000.0
MDXG,2011-04-15,71790000.0
MDXG,2011-04-30,74660000.0
MDXG,2011-07-31,84690000.0
MDXG,2011-10-31,77970000.0
MDXG,2012-03-15,90040000.0
MDXG,2012-04-15,85120000.0
MDXG,2012-04-30,89630000.0
MDXG,2012-07-31,193540000.0
MDXG,2012-10-31,255030000.0
MDXG,2013-02-15,433120000.0
MDXG,2013-04-19,479720000.0
MDXG,2013-04-25,572280000.0
MDXG,2013-07-24,531990000.0
MDXG,2013-10-25,572430000.0
MDXG,2014-02-15,734840000.0
MDXG,2014-04-17,604780000.0
MDXG,2014-07-15,742220000.0
MDXG,2014-10-15,941060000.0
MDXG,2015-02-13,922050000.0
MDXG,2015-04-15,1090000000.0
MDXG,2015-07-15,1340000000.0
MDXG,2015-10-15,913100000.0
MDXG,2016-02-10,791330000.0
MDXG,2016-04-15,920210000.0
MDXG,2016-07-15,879240000.0
MDXG,2016-10-15,908970000.0
MDXG,2017-02-15,903380000.0
MDXG,2017-04-14,1190000000.0
MDXG,2017-07-14,1740000000.0
MDXG,2017-10-13,1470000000.0
MDXG,2020-07-28,608810000.0
MDXG,2020-11-04,797410000.0
MDXG,2021-02-15,1100000000.0
MDXG,2021-04-16,1300000000.0
MDXG,2021-07-15,1270000000.0
MDXG,2021-10-20,800710000.0
MDXG,2022-02-21,510110000.0
MDXG,2022-04-27,444340000.0
MDXG,2022-07-26,397630000.0
MDXG,2022-10-26,333050000.0
MDXG,2023-02-24,513370000.0
MDXG,2023-07-27,882430000.0
MDXG,2023-10-26,713390000.0
MDXG,2024-02-22,1200000000.0
MDXG,2024-04-24,949090000.0
MDXG,2024-10-21,837590000.0
