Company,Date,Market Cap
MNKD,2017-03-03,203900000.0
MNKD,2017-03-10,186760000.0
MNKD,2017-05-05,80810000.0
MNKD,2017-08-01,132949999.99999999
MNKD,2017-10-31,385410000.0
MNKD,2018-02-09,314420000.0
MNKD,2018-04-24,242240000.0
MNKD,2018-07-17,241720000.0
MNKD,2018-10-22,298450000.0
MNKD,2019-02-14,260410000.00000003
MNKD,2019-04-15,304210000.0
MNKD,2019-07-16,206680000.0
MNKD,2019-10-31,270390000.0
MNKD,2020-02-13,312070000.0
MNKD,2020-04-13,247240000.0
MNKD,2020-07-13,378140000.0
MNKD,2020-10-26,483810000.0
MNKD,2021-02-12,1340000000.0
MNKD,2021-04-30,1140000000.0
MNKD,2021-07-30,1020000000.0
MNKD,2021-10-29,1180000000.0
MNKD,2022-02-11,1020000000.0
MNKD,2022-04-29,790530000.0
MNKD,2022-07-29,887820000.0
MNKD,2022-10-28,918550000.0
MNKD,2023-02-10,1360000000.0
MNKD,2023-04-28,1020000000.0
MNKD,2023-07-28,1240000000.0
MNKD,2023-10-27,1050000000.0
MNKD,2024-02-16,987030000.0
MNKD,2024-07-26,1610000000.0
MNKD,2024-10-25,1800000000.0
