Company,Date,Market Cap
NTRA,2015-07-02,804190000.0
NTRA,2015-07-31,886070000.0
NTRA,2015-10-30,412470000.0
NTRA,2016-02-29,343250000.0
NTRA,2016-04-30,503340000.0
NTRA,2016-07-31,678340000.0
NTRA,2016-10-31,444200000.0
NTRA,2017-02-28,504510000.0
NTRA,2017-04-28,478590000.0
NTRA,2017-07-31,429510000.0
NTRA,2017-10-30,574250000.0
NTRA,2018-02-28,487180000.0
NTRA,2018-05-03,613270000.0
NTRA,2018-07-31,1400000000.0
NTRA,2018-10-31,1360000000.0
NTRA,2019-02-28,994600000.0
NTRA,2019-05-02,1360000000.0
NTRA,2019-07-31,1930000000.0
NTRA,2018-06-30,7760000000.0
NTRA,2019-10-31,2990000000.0
NTRA,2020-02-21,2900000000.0
NTRA,2020-05-01,2760000000.0
NTRA,2021-02-19,10360000000.0
NTRA,2021-11-01,11260000000.0
NTRA,2022-02-18,6100000000.0
NTRA,2022-08-01,4630000000.0
NTRA,2022-11-01,4560000000.0
NTRA,2023-02-17,5660000000.0
NTRA,2023-05-01,6000000000.0
NTRA,2023-08-01,5200000000.0
NTRA,2023-11-01,4770000000.0
NTRA,2024-02-23,8510000000.0
NTRA,2024-05-03,11910000000.0
NTRA,2024-08-01,12740000000.0
NTRA,2024-11-01,16390000000.0
