Company,Date,Market Cap
PTGX,2016-08-31,197700000.0
PTGX,2016-10-31,314230000.0
PTGX,2017-02-28,232680000.0
PTGX,2017-04-28,170590000.0
PTGX,2017-07-31,206040000.0
PTGX,2017-10-31,306580000.0
PTGX,2018-02-28,357710000.0
PTGX,2018-04-30,183200000.0
PTGX,2018-07-31,146830000.0
PTGX,2018-10-31,193250000.0
PTGX,2019-02-28,187240000.0
PTGX,2019-04-30,241680000.0
PTGX,2019-07-31,289610000.0
PTGX,2019-03-07,137220000.0
PTGX,2019-10-31,365930000.0
PTGX,2020-02-28,212900000.0
PTGX,2020-04-30,185180000.0
PTGX,2020-07-31,578980000.0
PTGX,2020-10-30,724970000.0
PTGX,2021-02-26,1030000000.0
PTGX,2021-04-30,1270000000.0
PTGX,2021-07-30,2350000000.0
PTGX,2021-10-29,1490000000.0
PTGX,2022-02-15,1390000000.0
PTGX,2022-04-29,442280000.0
PTGX,2022-07-28,503110000.0
PTGX,2022-10-31,398510000.0
PTGX,2023-03-02,792710000.0
PTGX,2023-04-28,1290000000.0
PTGX,2023-07-31,1120000000.0
PTGX,2023-10-27,812110000.0
PTGX,2024-02-22,1610000000.0
PTGX,2024-04-30,1470000000.0
PTGX,2024-07-31,2210000000.0
PTGX,2024-10-31,2730000000.0
