Company,Date,Market Cap
RARE,2014-01-31,1190000000.0
RARE,2014-03-14,1800000000.0
RARE,2014-05-07,1060000000.0
RARE,2014-08-06,1590000000.0
RARE,2014-11-03,1430000000.0
RARE,2015-03-23,2130000000.0
RARE,2015-05-06,2320000000.0
RARE,2015-08-07,4240000000.0
RARE,2015-11-04,4219999999.9999995
RARE,2016-02-19,2470000000.0
RARE,2016-05-04,2460000000.0
RARE,2016-08-03,2560000000.0
RARE,2016-11-03,2150000000.0
RARE,2017-02-13,3120000000.0
RARE,2017-05-01,2680000000.0
RARE,2017-07-24,3040000000.0
RARE,2017-10-30,1920000000.0
RARE,2018-02-15,2360000000.0
RARE,2018-05-03,2620000000.0
RARE,2018-07-30,3890000000.0
RARE,2018-10-30,2500000000.0
RARE,2019-02-14,2840000000.0
RARE,2019-05-01,3690000000.0
RARE,2019-07-26,3590000000.0
RARE,2019-08-28,1110000000.0
RARE,2019-10-31,2320000000.0
RARE,2020-02-10,3550000000.0
RARE,2020-05-01,3500000000.0
RARE,2020-07-27,4930000000.0
RARE,2020-10-22,5610000000.0
RARE,2021-02-08,11100000000.0
RARE,2021-04-30,7530000000.0
RARE,2021-07-28,5520000000.0
RARE,2021-10-28,5780000000.0
RARE,2022-02-10,4950000000.0
RARE,2022-05-02,5060000000.0
RARE,2022-07-25,3570000000.0
RARE,2022-10-28,2860000000.0
RARE,2023-02-13,3080000000.0
RARE,2023-05-01,3120000000.0
RARE,2023-07-31,3080000000.0
RARE,2023-10-30,2720000000.0
RARE,2024-02-15,3810000000.0
RARE,2024-04-26,3680000000.0
RARE,2024-07-29,4170000000.0
RARE,2024-10-31,4710000000.0
