Company,Date,Market Cap
SGMO,2010-02-01,246620000.0
SGMO,2010-04-30,277830000.0
SGMO,2010-07-30,170410000.0
SGMO,2010-10-29,168670000.0
SGMO,2011-02-01,357470000.0
SGMO,2011-04-29,375650000.0
SGMO,2011-07-29,284350000.0
SGMO,2011-10-31,174210000.0
SGMO,2012-02-01,220200000.0
SGMO,2012-04-30,244530000.0
SGMO,2012-07-31,277440000.0
SGMO,2012-10-31,294620000.0
SGMO,2013-02-01,509520000.0
SGMO,2013-04-30,547150000.0
SGMO,2013-07-31,527539999.99999994
SGMO,2013-10-31,578420000.0
SGMO,2014-04-24,987380000.0
SGMO,2014-04-30,940560000.0
SGMO,2014-07-23,891590000.0
SGMO,2014-10-22,707300000.0
SGMO,2015-04-24,1020000000.0
SGMO,2015-08-04,642020000.0
SGMO,2015-10-26,477020000.0
SGMO,2016-02-01,422920000.0
SGMO,2016-05-02,456790000.0
SGMO,2016-08-01,466790000.0
SGMO,2016-10-24,264839999.99999997
SGMO,2017-02-24,283500000.0
SGMO,2017-05-05,327320000.0
SGMO,2017-07-31,719050000.0
SGMO,2017-11-03,1020000000.0
SGMO,2018-02-15,1990000000.0
SGMO,2018-05-01,1660000000.0
SGMO,2018-08-01,1400000000.0
SGMO,2018-11-01,1430000000.0
SGMO,2019-02-15,898980000.0
SGMO,2019-05-03,1330000000.0
SGMO,2019-08-02,1320000000.0
SGMO,2019-11-01,1100000000.0
SGMO,2020-02-21,863210000.0
SGMO,2020-05-05,1230000000.0
SGMO,2020-08-03,1630000000.0
SGMO,2020-10-30,1460000000.0
SGMO,2021-02-19,1890000000.0
SGMO,2021-04-30,1690000000.0
SGMO,2021-08-02,1400000000.0
SGMO,2021-11-01,1260000000.0
SGMO,2022-02-22,837860000.0
SGMO,2022-05-02,651290000.0
SGMO,2022-08-01,668480000.0
SGMO,2022-10-31,719430000.0
SGMO,2023-02-17,517240000.0
SGMO,2023-05-04,233680000.0
SGMO,2023-08-04,208990000.0
SGMO,2023-10-30,93990000.0
SGMO,2024-03-08,162800000.0
SGMO,2024-05-06,109980000.0
SGMO,2024-08-02,181150000.0
SGMO,2024-11-07,586300000.0
