Company,Date,Market Cap
SRPT,2012-07-12,93440000.0
SRPT,2012-07-31,205200000.0
SRPT,2012-10-31,542910000.0
SRPT,2013-02-28,932650000.0
SRPT,2013-04-30,926650000.0
SRPT,2013-07-31,1240000000.0
SRPT,2013-10-31,1460000000.0
SRPT,2014-02-24,1140000000.0
SRPT,2014-04-30,1510000000.0
SRPT,2014-07-31,873310000.0
SRPT,2014-10-31,667980000.0
SRPT,2015-02-23,639920000.0
SRPT,2015-04-30,505890000.0
SRPT,2015-07-31,1330000000.0
SRPT,2015-10-30,1090000000.0
SRPT,2016-02-19,642980000.0
SRPT,2016-03-31,893380000.0
SRPT,2016-04-29,649550000.0
SRPT,2016-08-03,1300000000.0
SRPT,2016-11-03,2029999999.9999998
SRPT,2017-02-21,1570000000.0
SRPT,2017-04-28,1990000000.0
SRPT,2017-07-28,2630000000.0
SRPT,2017-10-26,3080000000.0
SRPT,2018-02-23,4150000000.0000005
SRPT,2018-04-30,5000000000.0
SRPT,2018-08-03,8029999999.999999
SRPT,2018-10-26,8180000000.0
SRPT,2019-02-22,9980000000.0
SRPT,2019-05-03,8960000000.0
SRPT,2019-08-02,10860000000.0
SRPT,2019-11-04,6770000000.0
SRPT,2020-02-21,9640000000.0
SRPT,2020-05-01,8840000000.0
SRPT,2020-07-31,12050000000.0
SRPT,2020-10-30,10730000000.0
SRPT,2021-02-19,6780000000.0
SRPT,2021-04-30,5650000000.0
SRPT,2021-07-30,5410000000.0
SRPT,2021-10-29,6890000000.0
SRPT,2022-02-24,6610000000.0
SRPT,2022-04-29,6330000000.0
SRPT,2022-07-29,8140000000.000001
SRPT,2022-10-28,10120000000.0
SRPT,2023-02-23,10980000000.0
SRPT,2023-10-27,9990000000.0
SRPT,2024-02-23,12810000000.0
SRPT,2024-04-26,12170000000.0
SRPT,2024-08-02,13730000000.0
SRPT,2024-11-01,11780000000.0
