Company,Date,Market Cap
SVRA,2017-05-05,84860000.0
SVRA,2017-08-09,141830000.0
SVRA,2017-11-08,285180000.0
SVRA,2018-03-14,321880000.0
SVRA,2018-05-09,299640000.0
SVRA,2018-08-09,404290000.0
SVRA,2018-11-07,344960000.0
SVRA,2019-03-13,303890000.0
SVRA,2019-05-09,404370000.0
SVRA,2019-08-08,103410000.0
SVRA,2018-06-11,945020000.0
SVRA,2019-11-07,37500000.0
SVRA,2020-03-12,129639999.99999999
SVRA,2020-05-04,132030000.0
SVRA,2020-08-06,110420000.0
SVRA,2020-11-04,59010000.0
SVRA,2021-03-08,90030000.0
SVRA,2021-05-13,171600000.0
SVRA,2021-08-12,137760000.0
SVRA,2021-11-12,128669999.99999999
SVRA,2022-03-30,144830000.0
SVRA,2022-05-11,127730000.0
SVRA,2022-11-10,130009999.99999999
SVRA,2023-03-30,232690000.0
SVRA,2023-05-15,225850000.0
SVRA,2023-08-10,519070000.00000006
SVRA,2023-11-09,461510000.0
SVRA,2024-03-07,772250000.0
SVRA,2024-05-09,700620000.0
SVRA,2024-08-08,666630000.0
SVRA,2024-11-07,689910000.0
