Company,Date,Market Cap
SWTX,2019-09-13,910540000.0
SWTX,2019-11-12,773680000.0
SWTX,2020-03-09,1420000000.0
SWTX,2020-05-06,1310000000.0
SWTX,2020-08-10,1940000000.0
SWTX,2020-11-06,2820000000.0
SWTX,2021-02-19,4470000000.0
SWTX,2021-04-30,3530000000.0
SWTX,2021-07-29,4340000000.0
SWTX,2021-10-29,3300000000.0
SWTX,2022-02-18,2740000000.0
SWTX,2022-04-29,2120000000.0
SWTX,2022-07-29,1480000000.0
SWTX,2022-10-31,1500000000.0
SWTX,2023-02-22,1900000000.0
SWTX,2023-04-28,1460000000.0
SWTX,2023-07-28,1910000000.0
SWTX,2023-10-30,1410000000.0
SWTX,2024-02-21,3630000000.0
SWTX,2024-04-26,3370000000.0
SWTX,2024-08-01,2620000000.0
SWTX,2024-11-05,2350000000.0
