Company,Date,Market Cap
VCYT,2013-10-30,274140000.0
VCYT,2013-11-15,255580000.0
VCYT,2014-05-01,280530000.0
VCYT,2014-08-01,305990000.0
VCYT,2015-03-02,199800000.0
VCYT,2015-05-01,246340000.0
VCYT,2015-08-03,322290000.0
VCYT,2015-10-29,181210000.0
VCYT,2016-03-04,180500000.0
VCYT,2016-04-29,161580000.0
VCYT,2016-07-29,137930000.0
VCYT,2016-10-28,210460000.0
VCYT,2017-02-24,269090000.0
VCYT,2017-04-28,286880000.0
VCYT,2017-07-28,284030000.0
VCYT,2017-11-02,282530000.0
VCYT,2018-02-23,197510000.0
VCYT,2018-04-27,209170000.0
VCYT,2018-07-17,351200000.0
VCYT,2018-10-25,388770000.0
VCYT,2019-02-21,772840000.0
VCYT,2019-04-26,973600000.0
VCYT,2019-07-26,1410000000.0
VCYT,2019-07-31,1850000000.0
VCYT,2019-10-18,1200000000.0
VCYT,2020-02-20,1280000000.0
VCYT,2020-04-30,1350000000.0
VCYT,2020-07-23,1570000000.0
VCYT,2020-10-28,2089999999.9999998
VCYT,2021-02-19,4890000000.0
VCYT,2021-05-07,2980000000.0
VCYT,2021-07-23,2650000000.0
VCYT,2021-11-03,3820000000.0
VCYT,2022-02-25,1920000000.0
VCYT,2022-04-26,1560000000.0
VCYT,2022-07-28,1970000000.0
VCYT,2022-10-28,1390000000.0
VCYT,2023-02-24,1720000000.0
VCYT,2023-05-01,1650000000.0
VCYT,2023-08-04,1860000000.0
VCYT,2023-11-03,1790000000.0
VCYT,2024-02-23,1670000000.0
VCYT,2024-05-03,1560000000.0
VCYT,2024-08-02,1660000000.0
VCYT,2024-11-01,2660000000.0
